Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"pre  s2718tdvg"
Patient ID,
Test Date,8/20/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 45 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 150 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 300 탎","Tr 10 : 100 mA : 300 탎","Tr 11 : 100 mA : 300 탎","Tr 12 : 100 mA : 300 탎","Tr 13 : 100 mA : 300 탎","Tr 14 : 100 mA : 350 탎","Tr 15 : 100 mA : 350 탎","Tr 16 : 100 mA : 350 탎"
,51.879882813,-101.470947266,-1347.351074219,-694.274902344,-470.733642578,-1496.124267578,-4699.707031250,-2903.747558594,-5969.238281250,-4696.655273438,-3551.483154297,-2290.344238281,-1451.873779297,-3163.909912109,-8164.978027344,-2767.181396484
,52.642822266,125.885009766,-631.713867188,-349.426269531,-22.888183594,-818.634033203,-3134.155273438,-1570.892333984,-3929.901123047,-2503.204345703,-2256.011962891,-1067.352294922,-704.193115234,-1998.138427734,-6476.593017578,-1486.206054688
,54.168701172,323.486328125,19.073486328,-25.177001953,395.202636719,-177.001953125,-1611.328125000,-292.968750000,-1940.917968750,-370.025634766,-995.635986328,99.945068359,13.732910156,-893.402099609,-3855.895996094,-216.674804688
,54.931640625,258.636474609,616.455078125,214.385986328,331.878662109,430.297851563,-138.092041016,644.683837891,-32.806396484,788.879394531,20.599365234,700.378417969,389.099121094,32.806396484,-1257.324218750,501.251220703
,54.168701172,222.015380859,547.027587891,198.364257813,307.464599609,386.047363281,598.144531250,653.076171875,911.712646484,831.604003906,466.156005859,653.076171875,363.922119141,474.548339844,351.715087891,591.278076172
,52.642822266,197.601318359,497.436523438,185.394287109,289.916992188,360.107421875,570.678710938,623.321533203,891.876220703,806.427001953,447.082519531,627.136230469,350.189208984,438.690185547,859.069824219,600.433349609
,50.354003906,180.816650391,458.526611328,173.187255859,277.709960938,337.982177734,543.212890625,595.855712891,865.173339844,781.250000000,429.534912109,604.248046875,338.745117188,415.802001953,870.513916016,598.907470703
,47.302246094,168.609619141,425.720214844,162.506103516,267.028808594,320.434570313,519.561767578,570.678710938,839.233398438,757.598876953,414.276123047,582.885742188,328.826904297,392.913818359,863.647460938,593.566894531
,44.250488281,158.691406250,396.728515625,151.062011719,257.873535156,305.938720703,497.436523438,547.790527344,813.293457031,736.236572266,400.543212891,562.286376953,320.434570313,369.262695313,849.914550781,586.700439453
,41.198730469,151.062011719,370.788574219,141.143798828,248.718261719,293.731689453,476.837158203,525.665283203,787.353515625,714.874267578,389.099121094,542.449951172,311.279296875,354.003906250,833.129882813,577.545166016
,39.672851563,145.721435547,347.900390625,131.988525391,239.562988281,285.339355469,456.237792969,505.065917969,762.176513672,695.800781250,378.417968750,524.902343750,301.361083984,341.033935547,814.819335938,566.864013672
,38.909912109,140.380859375,327.301025391,123.596191406,231.170654297,276.947021484,436.401367188,486.755371094,737.762451172,675.964355469,366.973876953,508.117675781,289.916992188,331.878662109,795.745849609,555.419921875
,37.384033203,135.803222656,307.464599609,115.966796875,223.541259766,269.317626953,417.327880859,469.207763672,715.637207031,656.127929688,357.818603516,491.333007813,278.472900391,326.538085938,774.383544922,543.975830078
,38.146972656,131.988525391,289.916992188,109.100341797,217.437744141,261.688232422,399.017333984,453.186035156,695.800781250,638.580322266,347.900390625,476.074218750,267.028808594,318.908691406,753.784179688,533.294677734
,37.384033203,128.173828125,273.895263672,102.996826172,212.097167969,252.532958984,382.232666016,439.453125000,679.016113281,621.795654297,339.508056641,460.052490234,257.110595703,312.042236328,732.421875000,522.613525391
,37.384033203,124.359130859,257.873535156,99.182128906,206.756591797,242.614746094,366.210937500,425.720214844,662.994384766,605.773925781,331.115722656,443.267822266,248.718261719,302.886962891,710.296630859,511.932373047
,37.384033203,120.544433594,244.903564453,95.367431641,199.890136719,232.696533203,349.426269531,411.987304688,646.972656250,588.226318359,320.434570313,424.957275391,240.325927734,292.205810547,690.460205078,502.014160156
,36.621093750,116.729736328,231.170654297,90.789794922,189.208984375,219.726562500,332.641601563,393.676757813,626.373291016,563.049316406,304.412841797,399.780273438,227.355957031,276.184082031,667.572021484,486.755371094
,35.858154297,112.152099609,216.674804688,80.108642578,170.135498047,200.653076172,309.753417969,363.922119141,593.566894531,526.428222656,276.184082031,360.107421875,201.416015625,249.481201172,637.054443359,463.104248047
