Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 80 mA : 200 탎","Tr 3 : 100 mA : 200 탎","Tr 4 : 100 mA : 300 탎","Tr 5 : 100 mA : 400 탎","Tr 6 : 100 mA : 400 탎","Tr 7 : 100 mA : 400 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 500 탎","Tr 11 : 100 mA : 500 탎","Tr 12 : 100 mA : 500 탎","Tr 13 : 100 mA : 500 탎"
,28.991699219,428.771972656,494.384765625,823.974609375,1220.703125000,1242.828369141,2127.075195313,2165.222167969,1228.332519531,2085.113525391,1322.937011719,1499.176025391,930.786132813
,29.754638672,420.379638672,483.703613281,797.271728516,1190.185546875,1210.784912109,2072.143554688,2103.424072266,1191.711425781,2030.181884766,1290.893554688,1461.029052734,910.186767578
,28.991699219,411.224365234,473.022460938,773.620605469,1158.905029297,1177.978515625,2018.737792969,2042.388916016,1155.090332031,1976.776123047,1260.375976563,1423.645019531,890.350341797
,28.991699219,402.832031250,463.104248047,751.495361328,1128.387451172,1146.697998047,1965.332031250,1980.590820313,1118.469238281,1924.133300781,1229.095458984,1387.023925781,873.565673828
,27.465820313,395.202636719,452.423095703,728.607177734,1095.581054688,1116.180419922,1912.689208984,1918.792724609,1080.322265625,1872.253417969,1197.814941406,1349.639892578,856.018066406
,25.939941406,387.573242188,438.690185547,706.481933594,1061.248779297,1085.662841797,1858.520507813,1857.757568359,1039.123535156,1818.084716797,1164.245605469,1309.967041016,836.944580078
,25.177001953,376.892089844,421.905517578,680.541992188,1023.101806641,1052.093505859,1801.300048828,1798.248291016,993.347167969,1760.101318359,1126.098632813,1267.242431641,814.819335938
,22.888183594,363.159179688,398.254394531,646.972656250,977.325439453,1013.946533203,1740.264892578,1743.316650391,942.993164063,1696.777343750,1083.374023438,1219.177246094,786.590576172
,22.125244141,343.322753906,365.447998047,602.722167969,918.579101563,965.118408203,1670.074462891,1692.199707031,883.483886719,1623.535156250,1029.968261719,1161.193847656,749.969482422
,21.362304688,312.805175781,317.382812500,540.161132813,840.759277344,900.268554688,1586.914062500,1646.423339844,811.767578125,1537.322998047,962.829589844,1091.003417969,701.904296875
,20.599365234,270.080566406,244.140625000,449.371337891,736.236572266,814.056396484,1488.494873047,1604.461669922,720.214843750,1432.800292969,874.328613281,1002.502441406,632.476806641
,21.362304688,205.230712891,140.380859375,327.301025391,598.144531250,698.852539063,1365.661621094,1564.025878906,599.670410156,1303.100585938,757.598876953,887.298583984,536.346435547
,20.599365234,110.626220703,0.000000000,164.794921875,420.379638672,550.079345703,1214.599609375,1524.353027344,447.082519531,1142.883300781,605.773925781,741.577148438,402.832031250
,19.836425781,-19.836425781,-182.342529297,-38.146972656,202.941894531,364.685058594,1031.494140625,1485.443115234,257.873535156,949.096679688,415.039062500,558.471679688,225.067138672
,20.599365234,-194.549560547,-405.883789063,-279.235839844,-52.642822266,142.669677734,814.056396484,1444.244384766,33.569335938,720.977783203,188.446044922,337.219238281,0.000000000
,20.599365234,-413.513183594,-665.283203125,-548.553466797,-337.219238281,-109.863281250,568.389892578,1398.468017578,-216.674804688,463.104248047,-70.190429688,82.397460938,-267.791748047
,20.599365234,-671.386718750,-948.333740234,-832.366943359,-634.002685547,-383.758544922,301.361083984,1345.825195313,-482.940673828,186.157226563,-348.663330078,-193.023681641,-570.678710938
,21.362304688,-954.437255859,-1238.250732422,-1113.128662109,-927.734375000,-662.994384766,25.939941406,1281.738281250,-748.443603516,-95.367431641,-631.713867188,-475.311279297,-891.876220703
,20.599365234,-1247.406005859,-1516.723632813,-1367.187500000,-1194.000244141,-928.497314453,-239.562988281,1202.392578125,-994.873046875,-365.447998047,-901.794433594,-746.154785156,-1214.599609375
,19.836425781,-1532.745361328,-1758.575439453,-1575.469970703,-1412.963867188,-1156.616210938,-473.785400391,1107.025146484,-1199.340820313,-598.907470703,-1133.728027344,-981.903076172,-1514.434814453
,17.547607422,-1786.804199219,-1946.258544922,-1716.613769531,-1563.262939453,-1328.277587891,-656.890869141,992.584228516,-1341.247558594,-775.909423828,-1309.967041016,-1164.245605469,-1774.597167969
,16.784667969,-1993.560791016,-2060.699462891,-1770.782470703,-1629.638671875,-1423.645019531,-763.702392578,860.595703125,-1404.571533203,-875.091552734,-1411.437988281,-1274.871826172,-1976.776123047
,16.021728516,-2133.178710938,-2085.113525391,-1733.398437500,-1605.987548828,-1428.222656250,-780.487060547,717.926025391,-1374.053955078,-878.143310547,-1421.356201172,-1292.419433594,-2107.238769531
,14.495849609,-2191.925048828,-2018.737792969,-1596.832275391,-1486.206054688,-1336.669921875,-698.089599609,577.545166016,-1246.643066406,-778.961181641,-1336.669921875,-1213.836669922,-2167.510986328
,14.495849609,-2165.985107422,-1856.994628906,-1360.321044922,-1270.294189453,-1145.935058594,-515.747070313,456.237792969,-1021.575927734,-575.256347656,-1153.564453125,-1033.782958984,-2153.015136719
,14.495849609,-2053.833007813,-1599.884033203,-1024.627685547,-958.251953125,-855.255126953,-238.800048828,375.366210938,-698.852539063,-270.080566406,-869.750976563,-752.258300781,-2066.802978516
,12.969970703,-1857.757568359,-1248.931884766,-587.463378906,-543.975830078,-464.630126953,132.751464844,353.240966797,-281.524658203,127.410888672,-488.281250000,-374.603271484,-1910.400390625
,13.732910156,-1579.284667969,-801.849365234,-52.642822266,-30.517578125,21.362304688,592.803955078,400.543212891,228.118896484,616.455078125,-9.155273438,96.130371094,-1676.177978516
,13.732910156,-1217.651367188,-263.977050781,571.441650391,575.256347656,602.722167969,1137.542724609,528.717041016,825.500488281,1190.185546875,563.049316406,658.416748047,-1363.372802734
