Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"mid  s2718tdvg"
Patient ID,
Test Date,9/24/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 58 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 100 탎","Tr 5 : 100 mA : 100 탎","Tr 6 : 100 mA : 100 탎","Tr 7 : 100 mA : 150 탎","Tr 8 : 100 mA : 250 탎","Tr 9 : 100 mA : 350 탎","Tr 10 : 100 mA : 450 탎","Tr 11 : 100 mA : 450 탎","Tr 12 : 100 mA : 450 탎"
,9.918212891,-382.232666016,-725.555419922,-820.922851563,-945.281982422,-915.527343750,-1429.748535156,-2272.796630859,-3186.035156250,-4158.020019531,-4018.402099609,-4022.216796875
,12.969970703,-369.262695313,-703.430175781,-801.849365234,-918.579101563,-894.165039063,-1396.179199219,-2220.153808594,-3113.555908203,-4079.437255859,-3956.604003906,-3947.448730469
,15.258789063,-358.581542969,-682.067871094,-782.775878906,-891.876220703,-872.802734375,-1362.609863281,-2164.459228516,-3039.550781250,-3988.647460938,-3872.680664063,-3857.421875000
,17.547607422,-350.189208984,-662.231445313,-763.702392578,-865.936279297,-849.914550781,-1327.514648438,-2109.527587891,-2964.019775391,-3894.042968750,-3781.127929688,-3762.817382813
,18.310546875,-341.033935547,-641.632080078,-745.391845703,-841.522216797,-827.789306641,-1292.419433594,-2055.358886719,-2887.725830078,-3797.912597656,-3689.575195313,-3666.687011719
,18.310546875,-331.878662109,-621.795654297,-727.081298828,-817.108154297,-806.427001953,-1258.087158203,-1999.664306641,-2812.957763672,-3701.019287109,-3597.259521484,-3571.319580078
,17.547607422,-323.486328125,-604.248046875,-709.533691406,-793.457031250,-784.301757813,-1225.280761719,-1947.784423828,-2742.004394531,-3606.414794922,-3506.469726563,-3477.478027344
,16.021728516,-312.805175781,-587.463378906,-692.749023438,-771.331787109,-762.939453125,-1194.000244141,-1896.667480469,-2672.576904297,-3514.862060547,-3417.968750000,-3386.688232422
,16.021728516,-301.361083984,-572.204589844,-676.727294922,-749.969482422,-743.103027344,-1164.245605469,-1849.365234375,-2606.964111328,-3425.598144531,-3330.993652344,-3298.950195313
,16.784667969,-289.154052734,-559.997558594,-661.468505859,-730.895996094,-725.555419922,-1137.542724609,-1808.929443359,-2547.454833984,-3342.437744141,-3247.833251953,-3215.026855469
,16.784667969,-276.184082031,-547.790527344,-646.209716797,-712.585449219,-711.822509766,-1111.602783203,-1775.360107422,-2495.574951172,-3265.380859375,-3168.487548828,-3136.444091797
,18.310546875,-264.739990234,-538.635253906,-633.239746094,-698.852539063,-702.667236328,-1089.477539063,-1757.049560547,-2458.190917969,-3199.768066406,-3097.534179688,-3063.964843750
,18.310546875,-255.584716797,-534.057617188,-624.084472656,-686.645507813,-701.141357422,-1078.033447266,-1756.286621094,-2439.880371094,-3149.414062500,-3039.550781250,-3000.640869141
,16.784667969,-249.481201172,-533.294677734,-621.032714844,-680.541992188,-707.244873047,-1076.507568359,-1778.411865234,-2445.220947266,-3119.659423828,-2999.114990234,-2951.812744141
,17.547607422,-247.955322266,-540.161132813,-624.084472656,-682.067871094,-722.503662109,-1092.529296875,-1822.662353516,-2471.923828125,-3115.081787109,-2983.093261719,-2919.769287109
,16.784667969,-250.244140625,-554.656982422,-634.765625000,-690.460205078,-746.917724609,-1124.572753906,-1882.171630859,-2515.411376953,-3131.866455078,-2989.959716797,-2909.088134766
,16.021728516,-258.636474609,-579.071044922,-653.839111328,-708.770751953,-775.146484375,-1168.823242188,-1947.784423828,-2565.002441406,-3164.672851563,-3016.662597656,-2915.191650391
,18.310546875,-272.369384766,-611.877441406,-677.490234375,-734.710693359,-805.664062500,-1222.991943359,-2002.716064453,-2600.860595703,-3199.768066406,-3054.809570313,-2930.450439453
,19.073486328,-295.257568359,-651.550292969,-705.718994141,-763.702392578,-833.129882813,-1277.160644531,-2025.604248047,-2603.912353516,-3217.315673828,-3085.327148438,-2941.131591797
,19.836425781,-328.063964844,-695.800781250,-732.421875000,-794.982910156,-848.388671875,-1319.885253906,-1999.664306641,-2551.269531250,-3197.479248047,-3091.430664063,-2932.739257813
,20.599365234,-370.025634766,-735.473632813,-747.680664063,-818.634033203,-845.336914063,-1338.958740234,-1906.585693359,-2424.621582031,-3121.185302734,-3050.994873047,-2891.540527344
,20.599365234,-421.905517578,-764.465332031,-742.340087891,-831.604003906,-814.056396484,-1317.596435547,-1734.161376953,-2217.102050781,-2971.649169922,-2944.946289063,-2804.565429688
,19.836425781,-479.888916016,-777.435302734,-704.956054688,-823.211669922,-742.340087891,-1245.117187500,-1481.628417969,-1928.710937500,-2742.767333984,-2765.655517578,-2664.184570313
,20.599365234,-537.872314453,-760.650634766,-626.373291016,-779.724121094,-624.847412109,-1109.313964844,-1149.749755859,-1564.025878906,-2430.725097656,-2503.967285156,-2462.768554688
,20.599365234,-592.803955078,-711.059570313,-499.725341797,-696.563720703,-457.000732422,-904.083251953,-749.206542969,-1135.253906250,-2040.100097656,-2160.644531250,-2193.450927734
,22.125244141,-640.869140625,-617.218017578,-321.197509766,-561.523437500,-236.511230469,-632.476806641,-295.257568359,-653.839111328,-1580.047607422,-1747.131347656,-1855.468750000
,22.125244141,-674.438476563,-474.548339844,-85.449218750,-372.314453125,28.228759766,-296.020507813,199.127197266,-131.225585938,-1065.063476563,-1268.005371094,-1451.110839844
,22.125244141,-697.326660156,-286.865234375,202.941894531,-132.751464844,334.167480469,86.975097656,714.874267578,412.750244141,-514.984130859,-741.577148438,-988.006591797
,22.125244141,-708.007812500,-57.983398438,539.398193359,156.402587891,669.097900391,503.540039063,1239.013671875,962.829589844,52.642822266,-191.497802734,-482.940673828
,19.836425781,-707.244873047,203.704833984,911.712646484,483.703613281,1025.390625000,943.756103516,1760.101318359,1507.568359375,616.455078125,370.025634766,48.065185547
,19.836425781,-698.852539063,492.095947266,1295.471191406,836.944580078,1390.075683594,1387.023925781,2263.641357422,2037.048339844,1167.297363281,923.156738281,588.989257813
,19.836425781,-682.830810547,795.745849609,1670.074462891,1199.340820313,1749.420166016,1825.714111328,2741.241455078,2545.166015625,1702.117919922,1456.451416016,1121.520996094
,20.599365234,-659.942626953,1097.106933594,2011.108398438,1543.426513672,2088.165283203,2243.804931641,3179.168701172,3029.632568359,2211.761474609,1968.383789063,1626.586914063
,22.125244141,-630.950927734,1373.291015625,2291.870117188,1844.024658203,2384.948730469,2616.882324219,3558.349609375,3470.611572266,2695.465087891,2445.220947266,2082.824707031
,22.888183594,-595.855712891,1602.172851563,2494.812011719,2075.958251953,2627.563476563,2935.028076172,3863.525390625,3849.029541016,3136.444091797,2881.622314453,2473.449707031
,23.651123047,-555.419921875,1765.441894531,2613.067626953,2220.153808594,2807.617187500,3180.694580078,4088.592529297,4153.442382813,3508.758544922,3262.329101563,2780.914306641
,23.651123047,-506.591796875,1854.705810547,2642.822265625,2272.796630859,2922.058105469,3355.407714844,4225.921630859,4363.250732422,3804.016113281,3571.319580078,3001.403808594
,23.651123047,-450.134277344,1871.490478516,2594.757080078,2234.649658203,2973.937988281,3462.219238281,4280.853271484,4474.639892578,4001.617431641,3797.149658203,3135.681152344
