Test Name,H-Reflex Inc-Dec
Test Item,Right Increasing -> M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 14.5 mA","Tr 3 : 14.5 mA","Tr 4 : 20 mA","Tr 5 : 30 mA","Tr 6 : 55 mA","Tr 7 : 61 mA","Tr 8 : 65 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,6291.961669922,9371.185302734,7444.000244141,9248.352050781,16094.970703125,8922.576904297,8374.786376953
,61.035156250,-102.996826172,51.116943359,1238.250732422,5666.351318359,8004.760742188,8197.021484375,8068.084716797
,58.746337891,-100.708007813,51.116943359,1213.836669922,5667.877197266,7929.229736328,8111.572265625,7984.161376953
,57.220458984,-98.419189453,51.879882813,1189.422607422,5661.773681641,7851.409912109,8021.545410156,7897.949218750
,54.931640625,-96.130371094,52.642822266,1165.771484375,5650.329589844,7772.827148438,7929.229736328,7809.448242188
,54.931640625,-94.604492188,55.694580078,1144.409179688,5635.070800781,7691.192626953,7833.862304688,7716.369628906
,54.931640625,-90.789794922,58.746337891,1123.809814453,5618.286132813,7608.032226563,7732.391357422,7617.950439453
,55.694580078,-86.975097656,59.509277344,1102.447509766,5597.686767578,7520.294189453,7624.053955078,7514.953613281
,56.457519531,-83.160400391,60.272216797,1080.322265625,5574.798583984,7427.978515625,7510.375976563,7405.853271484
,57.983398438,-78.582763672,59.509277344,1056.671142578,5545.043945313,7326.507568359,7389.831542969,7292.175292969
,58.746337891,-74.768066406,58.746337891,1031.494140625,5509.185791016,7218.933105469,7264.709472656,7173.919677734
,57.983398438,-71.716308594,58.746337891,1007.843017578,5466.461181641,7104.492187500,7135.772705078,7051.849365234
,56.457519531,-67.901611328,57.983398438,981.903076172,5416.870117188,6984.710693359,7003.784179688,6926.727294922
,53.405761719,-64.086914063,55.694580078,954.437255859,5363.464355469,6866.455078125,6870.269775391,6801.605224609
,51.879882813,-57.983398438,53.405761719,925.445556641,5307.769775391,6748.962402344,6737.518310547,6678.009033203
,51.879882813,-52.642822266,50.354003906,896.453857422,5247.497558594,6635.284423828,6607.818603516,6558.990478516
,52.642822266,-47.302246094,48.828125000,868.225097656,5184.936523438,6526.947021484,6481.933593750,6446.075439453
,51.879882813,-41.961669922,47.302246094,839.996337891,5118.560791016,6421.661376953,6361.389160156,6339.263916016
,50.354003906,-38.909912109,46.539306641,812.530517578,5046.844482422,6320.190429688,6245.422363281,6238.555908203
,46.539306641,-35.858154297,45.776367188,785.064697266,4970.550537109,6223.297119141,6134.033203125,6142.425537109
,43.487548828,-33.569335938,45.013427734,758.361816406,4889.678955078,6133.270263672,6027.984619141,6050.109863281
,41.961669922,-31.280517578,42.724609375,733.947753906,4804.229736328,6049.346923828,5929.565429688,5963.134765625
,41.198730469,-29.754638672,40.435791016,709.533691406,4717.254638672,5972.290039063,5839.538574219,5880.737304688
,41.198730469,-30.517578125,37.384033203,685.119628906,4627.990722656,5899.047851563,5755.615234375,5801.391601563
,40.435791016,-30.517578125,33.569335938,662.231445313,4540.252685547,5826.568603516,5677.032470703,5723.571777344
