Test Name,H-Reflex Inc-Dec
Test Item,Left M-max
Patient Name,"week5  s2812mytb"
Patient ID,
Test Date,8/6/2019
Trace Label,"Tr 1 : 32 mA","Tr 2 : 55 mA","Tr 3 : 55 mA","Tr 4 : 63 mA","Tr 5 : 63 mA","Tr 6 : 63 mA","Tr 7 : 63 mA","Tr 8 : 73 mA","Tr 9 : 81 mA","Tr 10 : 81 mA","Tr 11 : 91 mA","Tr 12 : 91 mA","Tr 13 : 95 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563,0.1563
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),9047.241210938,3730.468750000,3416.442871094,9873.657226563,3683.776855469,9770.202636719,8302.307128906,4638.671875000,5235.595703125,2980.346679688,9470.214843750,3418.884277344,9561.157226563
,-819.702148438,-1617.431640625,-1924.743652344,-4277.038574219,-5126.647949219,-5252.990722656,-5185.546875000,-5924.072265625,-6268.310546875,-6351.318359375,-6221.923828125,-6251.525878906,-6177.673339844
,-800.170898438,-1581.726074219,-1883.850097656,-4187.316894531,-5013.122558594,-5128.479003906,-5072.021484375,-5791.625976563,-6147.766113281,-6222.229003906,-6082.458496094,-6118.164062500,-6035.461425781
,-781.555175781,-1548.767089844,-1844.482421875,-4100.952148438,-4904.174804688,-5003.356933594,-4959.716796875,-5659.484863281,-6027.526855469,-6094.055175781,-5941.772460938,-5984.497070313,-5894.165039063
,-763.854980469,-1517.639160156,-1805.725097656,-4016.418457031,-4798.583984375,-4876.403808594,-4846.496582031,-5525.207519531,-5905.151367188,-5964.660644531,-5799.560546875,-5847.778320313,-5751.953125000
,-746.154785156,-1486.816406250,-1766.662597656,-3932.800292969,-4692.687988281,-4749.450683594,-4732.055664063,-5391.235351563,-5780.639648438,-5830.993652344,-5658.569335938,-5709.838867188,-5611.877441406
,-729.370117188,-1452.941894531,-1728.210449219,-3848.266601563,-4585.876464844,-4624.328613281,-4617.614746094,-5260.620117188,-5655.822753906,-5695.800781250,-5522.460937500,-5574.645996094,-5478.515625000
,-712.890625000,-1417.236328125,-1689.758300781,-3761.291503906,-4479.064941406,-4504.699707031,-4504.394531250,-5136.108398438,-5533.447265625,-5563.354492188,-5392.150878906,-5443.725585938,-5352.478027344
,-697.021484375,-1381.530761719,-1651.611328125,-3673.706054688,-4375.000000000,-4392.089843750,-4395.141601563,-5018.920898438,-5415.649414063,-5436.401367188,-5271.911621094,-5320.434570313,-5236.816406250
,-682.678222656,-1346.740722656,-1614.379882813,-3585.815429688,-4276.123046875,-4288.940429688,-4291.992187500,-4911.499023438,-5305.480957031,-5319.824218750,-5162.353515625,-5206.909179688,-5131.835937500
,-669.250488281,-1314.697265625,-1578.063964844,-3500.061035156,-4184.875488281,-4198.303222656,-4197.998046875,-4814.758300781,-5204.772949219,-5213.012695313,-5068.054199219,-5104.064941406,-5038.452148438
,-656.433105469,-1284.484863281,-1542.358398438,-3419.494628906,-4103.393554688,-4120.788574219,-4114.685058594,-4731.750488281,-5116.577148438,-5116.882324219,-4993.591308594,-5019.531250000,-4962.158203125
,-644.226074219,-1255.798339844,-1507.568359375,-3345.031738281,-4033.203125000,-4057.617187500,-4043.579101563,-4665.222167969,-5043.334960938,-5036.315917969,-4938.354492188,-4955.749511719,-4905.395507813
,-633.239746094,-1228.027343750,-1475.219726563,-3278.503417969,-3975.219726563,-4009.094238281,-3985.595703125,-4617.309570313,-4986.267089844,-4972.839355469,-4901.733398438,-4912.719726563,-4868.469238281
,-622.863769531,-1200.561523438,-1445.312500000,-3220.214843750,-3929.138183594,-3971.252441406,-3936.767578125,-4584.960937500,-4942.626953125,-4925.842285156,-4875.793457031,-4888.000488281,-4847.412109375
,-614.318847656,-1173.706054688,-1416.931152344,-3168.640136719,-3891.601562500,-3941.345214844,-3896.179199219,-4563.598632813,-4911.193847656,-4895.324707031,-4856.872558594,-4873.657226563,-4836.730957031
,-607.910156250,-1146.850585938,-1391.906738281,-3122.558593750,-3858.642578125,-3916.015625000,-3861.083984375,-4548.645019531,-4888.610839844,-4874.877929688,-4840.698242188,-4864.807128906,-4832.153320313
,-602.722167969,-1120.605468750,-1367.187500000,-3081.359863281,-3827.209472656,-3889.160156250,-3825.988769531,-4534.606933594,-4872.131347656,-4862.060546875,-4824.523925781,-4856.262207031,-4829.711914063
,-598.144531250,-1095.275878906,-1342.773437500,-3042.297363281,-3793.640136719,-3858.337402344,-3790.588378906,-4519.042968750,-4859.924316406,-4854.736328125,-4805.297851563,-4842.529296875,-4824.218750000
,-594.177246094,-1071.472167969,-1318.359375000,-3003.234863281,-3757.629394531,-3819.885253906,-3752.441406250,-4498.901367188,-4847.717285156,-4848.327636719,-4775.695800781,-4817.504882813,-4808.044433594
,-588.989257813,-1049.194335938,-1292.419433594,-2960.815429688,-3717.956542969,-3772.277832031,-3708.496093750,-4468.994140625,-4829.101562500,-4837.646484375,-4729.309082031,-4773.864746094,-4771.118164063
,-582.885742188,-1028.442382813,-1264.953613281,-2913.513183594,-3671.264648438,-3714.599609375,-3656.311035156,-4424.743652344,-4796.447753906,-4812.622070313,-4656.677246094,-4704.895019531,-4703.979492188
,-576.477050781,-1008.605957031,-1236.267089844,-2858.276367188,-3615.722656250,-3643.188476563,-3590.698242188,-4358.520507813,-4741.516113281,-4765.625000000,-4549.865722656,-4602.966308594,-4598.083496094
,-569.152832031,-989.074707031,-1206.970214844,-2794.189453125,-3545.227050781,-3554.382324219,-3506.469726563,-4262.695312500,-4655.761718750,-4687.805175781,-4403.991699219,-4465.026855469,-4449.157714844
,-562.438964844,-970.153808594,-1177.368164063,-2720.947265625,-3456.115722656,-3442.993164063,-3400.878906250,-4130.859375000,-4534.912109375,-4570.922851563,-4212.341308594,-4287.109375000,-4254.455566406
,-555.114746094,-950.927734375,-1148.986816406,-2635.498046875,-3347.778320313,-3304.138183594,-3270.263671875,-3957.214355469,-4372.863769531,-4412.841796875,-3973.388671875,-4063.415527344,-4012.756347656
,-547.180175781,-931.701660156,-1119.689941406,-2539.062500000,-3216.857910156,-3135.070800781,-3111.877441406,-3738.098144531,-4164.733886719,-4206.237792969,-3683.776855469,-3790.893554688,-3721.313476563
,-538.940429688,-910.949707031,-1088.867187500,-2431.945800781,-3063.354492188,-2934.570312500,-2924.499511719,-3472.900390625,-3905.944824219,-3948.364257813,-3338.928222656,-3464.660644531,-3374.938964844
,-528.869628906,-889.587402344,-1056.518554688,-2314.758300781,-2884.521484375,-2701.110839844,-2706.604003906,-3160.095214844,-3590.698242188,-3638.000488281,-2936.401367188,-3078.918457031,-2970.886230469
,-517.272949219,-867.004394531,-1022.033691406,-2187.805175781,-2676.391601563,-2433.776855469,-2455.444335938,-2799.987792969,-3217.163085938,-3269.348144531,-2473.754882813,-2635.192871094,-2506.713867188
,-503.234863281,-843.505859375,-985.717773438,-2048.950195313,-2439.270019531,-2131.042480469,-2171.325683594,-2394.714355469,-2784.729003906,-2843.322753906,-1953.735351563,-2135.009765625,-1986.389160156
,-487.060546875,-820.617675781,-948.486328125,-1894.531250000,-2170.410156250,-1791.381835938,-1851.806640625,-1943.969726563,-2296.447753906,-2360.534667969,-1384.887695313,-1586.608886719,-1419.372558594
,-469.970703125,-798.339843750,-911.560058594,-1720.886230469,-1871.643066406,-1418.762207031,-1496.276855469,-1455.688476563,-1761.169433594,-1826.477050781,-778.808593750,-1001.586914063,-816.650390625
,-452.575683594,-777.893066406,-874.633789063,-1523.437500000,-1545.715332031,-1021.118164063,-1109.924316406,-939.941406250,-1190.490722656,-1254.272460938,-153.808593750,-391.540527344,-197.753906250
,-435.485839844,-759.582519531,-838.928222656,-1301.574707031,-1194.458007813,-611.877441406,-702.209472656,-409.851074219,-602.416992188,-657.958984375,469.970703125,224.304199219,417.785644531
,-418.701171875,-742.797851563,-803.222656250,-1056.213378906,-827.636718750,-203.552246094,-286.865234375,120.544433594,-13.122558594,-54.626464844,1074.523925781,831.909179688,1011.962890625
,-401.611328125,-726.318359375,-767.211914063,-794.677734375,-453.796386719,195.617675781,123.901367188,639.343261719,562.744140625,539.855957031,1642.761230469,1412.658691406,1569.824218750
