Test Name,M-max Lower Leg Ampl Lines
Test Item,Left Gastroc
Patient Name,"followup  s2718tdvg"
Patient ID,
Test Date,11/19/2019
Trace Label,"Tr 1 : 0 mA : 200 탎","Tr 2 : 28 mA : 200 탎","Tr 3 : 67 mA : 200 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 200 탎","Tr 6 : 100 mA : 200 탎","Tr 7 : 100 mA : 200 탎","Tr 8 : 100 mA : 300 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎","Tr 11 : 100 mA : 400 탎","Tr 12 : 100 mA : 400 탎","Tr 13 : 100 mA : 500 탎"
,27.465820313,-588.989257813,-1728.057861328,-2078.247070313,-1464.080810547,-1958.465576172,-1969.146728516,-2835.845947266,-4595.947265625,-3644.561767578,-3918.457031250,-4258.728027344,-5194.854736328
,28.228759766,-617.218017578,-1795.196533203,-2008.056640625,-1505.279541016,-1873.016357422,-1925.659179688,-2813.720703125,-4404.449462891,-3504.180908203,-3775.787353516,-4105.377197266,-4983.520507813
,27.465820313,-640.869140625,-1843.261718750,-1911.926269531,-1546.478271484,-1774.597167969,-1860.046386719,-2774.810791016,-4206.085205078,-3351.593017578,-3620.910644531,-3942.108154297,-4775.238037109
,26.702880859,-659.179687500,-1861.572265625,-1777.648925781,-1582.336425781,-1654.052734375,-1761.627197266,-2711.486816406,-3998.565673828,-3178.405761719,-3444.671630859,-3759.765625000,-4560.852050781
,26.702880859,-671.386718750,-1836.395263672,-1600.646972656,-1602.935791016,-1505.279541016,-1624.298095703,-2610.015869141,-3784.942626953,-2978.515625000,-3242.492675781,-3554.534912109,-4337.310791016
,25.177001953,-672.912597656,-1767.730712891,-1387.786865234,-1599.121093750,-1327.514648438,-1448.059082031,-2464.294433594,-3563.690185547,-2752.685546875,-3016.662597656,-3324.127197266,-4095.458984375
,25.177001953,-665.283203125,-1657.867431641,-1148.223876953,-1560.974121094,-1118.469238281,-1238.250732422,-2276.611328125,-3342.437744141,-2500.152587891,-2766.418457031,-3072.357177734,-3838.348388672
,25.939941406,-646.972656250,-1520.538330078,-904.083251953,-1484.680175781,-893.402099609,-1013.946533203,-2053.070068359,-3135.681152344,-2231.597900391,-2499.389648438,-2810.668945313,-3579.711914063
,27.465820313,-618.743896484,-1376.342773438,-679.779052734,-1374.816894531,-671.386718750,-796.508789063,-1810.455322266,-2952.575683594,-1966.094970703,-2232.360839844,-2560.424804688,-3335.571289063
,28.991699219,-580.596923828,-1244.354248047,-484.466552734,-1240.539550781,-471.496582031,-606.536865234,-1570.129394531,-2799.224853516,-1724.243164063,-1982.116699219,-2344.512939453,-3128.814697266
,31.280517578,-534.820556641,-1145.172119141,-336.456298828,-1097.869873047,-311.279296875,-462.341308594,-1355.743408203,-2677.154541016,-1529.693603516,-1770.019531250,-2174.377441406,-2966.308593750
,32.806396484,-482.177734375,-1087.951660156,-238.800048828,-960.540771484,-195.312500000,-368.499755859,-1188.659667969,-2581.787109375,-1398.468017578,-1614.379882813,-2065.277099609,-2859.497070313
,34.332275391,-424.194335938,-1071.166992188,-180.816650391,-847.625732422,-119.018554688,-320.434570313,-1081.848144531,-2505.493164063,-1330.566406250,-1522.064208984,-2014.923095703,-2799.224853516
,35.858154297,-362.396240234,-1083.374023438,-167.083740234,-774.383544922,-83.160400391,-312.042236328,-1033.782958984,-2442.169189453,-1318.359375000,-1492.309570313,-2010.345458984,-2774.047851563
,35.858154297,-297.546386719,-1111.602783203,-182.342529297,-749.206542969,-75.531005859,-330.352783203,-1038.360595703,-2384.185791016,-1351.165771484,-1516.723632813,-2044.677734375,-2774.810791016
,36.621093750,-229.644775391,-1145.172119141,-211.334228516,-772.094726563,-86.975097656,-359.344482422,-1073.455810547,-2320.861816406,-1412.200927734,-1578.521728516,-2101.135253906,-2784.729003906
,35.858154297,-160.980224609,-1171.875000000,-250.244140625,-833.129882813,-103.759765625,-384.521484375,-1120.758056641,-2246.093750000,-1490.020751953,-1663.970947266,-2161.407470703,-2793.884277344
,34.332275391,-89.263916016,-1184.082031250,-275.421142578,-908.660888672,-108.337402344,-391.387939453,-1167.297363281,-2158.355712891,-1568.603515625,-1750.946044922,-2214.050292969,-2796.936035156
,33.569335938,-15.258789063,-1166.534423828,-267.791748047,-981.903076172,-92.315673828,-366.973876953,-1190.948486328,-2053.833007813,-1629.638671875,-1821.899414063,-2246.093750000,-2780.914306641
,32.043457031,58.746337891,-1101.684570313,-209.808349609,-1030.731201172,-50.354003906,-304.412841797,-1178.741455078,-1937.866210938,-1656.341552734,-1863.861083984,-2245.330810547,-2735.900878906
,32.806396484,136.566162109,-969.696044922,-80.108642578,-1037.597656250,18.310546875,-197.601318359,-1108.551025391,-1811.218261719,-1638.031005859,-1862.335205078,-2203.369140625,-2660.369873047
,33.569335938,215.148925781,-749.969482422,125.885009766,-996.398925781,118.255615234,-43.487548828,-960.540771484,-1673.889160156,-1557.159423828,-1808.929443359,-2113.342285156,-2555.084228516
,32.806396484,292.968750000,-427.246093750,406.646728516,-893.402099609,247.192382813,154.113769531,-716.400146484,-1529.693603516,-1420.593261719,-1698.303222656,-1977.539062500,-2426.910400391
,33.569335938,369.262695313,9.918212891,748.443603516,-714.874267578,399.017333984,386.047363281,-366.973876953,-1373.291015625,-1232.910156250,-1535.034179688,-1793.670654297,-2281.188964844
,34.332275391,441.741943359,564.575195313,1132.202148438,-453.186035156,565.338134766,629.425048828,84.686279297,-1204.681396484,-1006.317138672,-1320.648193359,-1573.181152344,-2117.919921875
