Trace Data (킮),-4332.733154297,-8715.820312500,-2402.496337891,-2574.157714844,-1434.326171875,-2883.911132813,-1673.126220703,-1111.602783203,-2790.069580078,-1602.935791016,-3790.283203125,-1930.236816406,-1872.253417969,-1145.172119141,-1654.815673828,-3756.713867188,-1448.059082031,-1394.653320313
,-7772.827148438,-10045.623779297,-4329.681396484,-4130.554199219,-2613.067626953,-3613.281250000,-2391.052246094,-2020.263671875,-3368.377685547,-2708.435058594,-4273.223876953,-3015.136718750,-2999.114990234,-2114.868164063,-2742.004394531,-4354.858398438,-2617.645263672,-2521.514892578
,-11302.947998047,-10997.772216797,-6290.435791016,-5372.619628906,-3798.675537109,-4109.191894531,-2914.428710938,-2935.791015625,-3755.187988281,-3617.858886719,-4589.843750000,-3844.451904297,-3882.598876953,-3217.315673828,-3612.518310547,-4739.379882813,-3832.244873047,-3701.019287109
,-13781.738281250,-11167.144775391,-7646.942138672,-6179.809570313,-4608.154296875,-4279.327392578,-3228.759765625,-3553.771972656,-3791.809082031,-4207.611083984,-4451.751708984,-4355.621337891,-4434.204101563,-3971.099853516,-4157.257080078,-4685.974121094,-4650.115966797,-4479.980468750
,-15118.408203125,-9946.441650391,-8180.999755859,-6089.782714844,-4993.438720703,-3615.570068359,-2893.829345703,-3810.882568359,-3121.185302734,-4072.570800781,-3673.553466797,-4057.312011719,-4218.292236328,-4342.651367188,-3973.388671875,-3882.598876953,-5039.215087891,-4753.112792969
,-14218.902587891,-7559.204101563,-7273.864746094,-5001.831054688,-4460.144042969,-2420.806884766,-2115.631103516,-3292.083740234,-1995.086669922,-3261.566162109,-2416.229248047,-3041.839599609,-3241.729736328,-3717.803955078,-3135.681152344,-2556.610107422,-4478.454589844,-3997.039794922
,868.988037109,623.321533203,463.104248047,354.766845703,284.576416016,250.244140625,196.838378906,220.489501953,218.963623047,247.192382813,246.429443359,257.873535156,260.925292969,246.429443359,225.067138672,251.770019531,277.709960938,276.947021484
,856.018066406,613.403320313,456.237792969,346.374511719,276.184082031,244.140625000,192.260742188,214.385986328,212.860107422,241.088867188,241.088867188,254.058837891,256.347656250,238.800048828,220.489501953,244.903564453,271.606445313,272.369384766
,843.811035156,605.010986328,447.845458984,339.508056641,267.791748047,238.800048828,189.208984375,209.808349609,206.756591797,235.748291016,238.800048828,251.770019531,252.532958984,231.170654297,217.437744141,240.325927734,266.265869141,267.791748047
,833.129882813,596.618652344,440.216064453,333.404541016,260.162353516,234.222412109,187.683105469,206.756591797,201.416015625,231.170654297,236.511230469,250.244140625,248.718261719,223.541259766,213.623046875,235.748291016,261.688232422,263.214111328
,821.685791016,588.989257813,432.586669922,327.301025391,253.295898438,230.407714844,185.394287109,202.941894531,196.075439453,226.593017578,231.933593750,247.955322266,245.666503906,217.437744141,210.571289063,230.407714844,257.873535156,258.636474609
,810.241699219,580.596923828,426.483154297,319.671630859,247.192382813,226.593017578,183.105468750,199.890136719,189.971923828,222.015380859,227.355957031,244.140625000,241.851806641,211.334228516,206.756591797,225.067138672,254.058837891,254.058837891
,798.797607422,570.678710938,422.668457031,312.805175781,241.851806641,222.015380859,180.053710938,195.312500000,183.868408203,216.674804688,222.015380859,241.088867188,238.800048828,206.756591797,203.704833984,218.963623047,248.718261719,248.718261719
,787.353515625,562.286376953,416.564941406,305.938720703,236.511230469,218.963623047,176.239013672,190.734863281,178.527832031,212.097167969,216.674804688,238.037109375,234.985351563,201.416015625,200.653076172,213.623046875,243.377685547,243.377685547
,775.909423828,553.894042969,410.461425781,299.072265625,230.407714844,215.911865234,173.187255859,186.157226563,173.950195313,208.282470703,213.623046875,234.985351563,231.170654297,195.312500000,199.127197266,210.571289063,238.037109375,240.325927734
,765.991210938,548.553466797,403.594970703,293.731689453,225.830078125,214.385986328,170.135498047,183.105468750,170.898437500,204.467773438,212.097167969,234.222412109,228.881835938,189.208984375,198.364257813,209.045410156,234.985351563,237.274169922
,757.598876953,550.079345703,397.491455078,288.391113281,222.015380859,213.623046875,168.609619141,180.816650391,167.846679688,200.653076172,210.571289063,233.459472656,226.593017578,183.105468750,197.601318359,207.519531250,232.696533203,235.748291016
,754.547119141,556.945800781,393.676757813,283.813476563,218.200683594,212.097167969,167.083740234,179.290771484,166.320800781,196.075439453,208.282470703,234.222412109,224.304199219,177.764892578,197.601318359,206.756591797,231.170654297,232.696533203
,756.072998047,574.493408203,395.965576172,281.524658203,218.200683594,210.571289063,165.557861328,176.239013672,165.557861328,191.497802734,205.993652344,236.511230469,222.778320313,175.476074219,199.127197266,205.993652344,228.881835938,230.407714844
,765.991210938,606.536865234,405.120849609,283.813476563,218.200683594,209.808349609,164.031982422,173.187255859,164.794921875,189.208984375,206.756591797,239.562988281,222.778320313,175.476074219,201.416015625,205.993652344,227.355957031,228.881835938
,788.879394531,659.179687500,423.431396484,292.968750000,218.963623047,211.334228516,162.506103516,170.135498047,166.320800781,190.734863281,211.334228516,244.140625000,227.355957031,177.764892578,205.993652344,209.808349609,228.118896484,228.881835938
,830.078125000,746.917724609,456.237792969,312.805175781,224.304199219,216.674804688,161.743164063,168.609619141,172.424316406,195.312500000,222.778320313,251.770019531,238.037109375,183.868408203,212.860107422,218.200683594,234.222412109,233.459472656
,901.794433594,883.483886719,510.406494141,347.137451172,234.985351563,228.118896484,161.743164063,170.898437500,181.579589844,206.756591797,241.851806641,261.688232422,256.347656250,195.312500000,224.304199219,231.933593750,246.429443359,241.851806641
,1015.472412109,1084.136962891,598.144531250,402.832031250,254.821777344,245.666503906,162.506103516,176.239013672,196.838378906,222.778320313,270.843505859,274.658203125,284.576416016,212.097167969,241.088867188,252.532958984,266.265869141,257.110595703
,1185.607910156,1358.795166016,735.473632813,489.044189453,287.628173828,273.132324219,163.269042969,185.394287109,218.963623047,247.955322266,316.619873047,294.494628906,325.775146484,238.800048828,264.739990234,280.761718750,292.968750000,278.472900391
