Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 200 µs","Tr 2 : 46 mA : 200 µs","Tr 3 : 100 mA : 200 µs","Tr 4 : 100 mA : 300 µs","Tr 5 : 100 mA : 400 µs","Tr 6 : 100 mA : 400 µs"
,43.487548828,-976.562500000,-546.264648438,-216.674804688,-289.916992188,-146.484375000
,44.250488281,-853.729248047,-505.065917969,-166.320800781,-222.015380859,-78.582763672
,45.013427734,-743.865966797,-472.259521484,-137.329101563,-177.764892578,-36.621093750
,45.776367188,-643.157958984,-453.948974609,-135.040283203,-160.980224609,-25.177001953
,45.013427734,-549.316406250,-449.371337891,-157.165527344,-172.424316406,-44.250488281
,45.013427734,-453.186035156,-460.052490234,-205.993652344,-214.385986328,-96.130371094
,45.776367188,-354.003906250,-489.807128906,-279.998779297,-285.339355469,-180.053710938
,45.776367188,-263.214111328,-538.635253906,-376.892089844,-381.469726563,-291.442871094
,45.776367188,-185.394287109,-610.351562500,-491.333007813,-497.436523438,-423.431396484
,45.013427734,-128.936767578,-700.378417969,-614.929199219,-622.558593750,-562.286376953
,42.724609375,-104.522705078,-803.375244141,-740.814208984,-746.917724609,-698.852539063
,40.435791016,-109.863281250,-911.712646484,-860.595703125,-865.173339844,-827.026367188
,38.909912109,-144.195556641,-1014.709472656,-968.170166016,-971.221923828,-940.704345703
,37.384033203,-203.704833984,-1107.788085938,-1062.011718750,-1066.589355469,-1042.175292969
,37.384033203,-282.287597656,-1188.659667969,-1145.935058594,-1152.801513672,-1134.490966797
,37.384033203,-377.655029297,-1258.850097656,-1220.703125000,-1232.147216797,-1216.125488281
,36.621093750,-485.992431641,-1319.885253906,-1292.419433594,-1307.678222656,-1291.656494141
,36.621093750,-605.010986328,-1376.342773438,-1360.321044922,-1377.868652344,-1360.321044922
,35.858154297,-726.318359375,-1425.933837891,-1419.830322266,-1441.192626953,-1418.304443359
,35.095214844,-841.522216797,-1468.658447266,-1470.947265625,-1496.124267578,-1467.895507813
,34.332275391,-946.807861328,-1502.227783203,-1509.094238281,-1539.611816406,-1504.516601563
,33.569335938,-1039.886474609,-1526.641845703,-1535.034179688,-1570.892333984,-1531.219482422
,32.806396484,-1121.520996094,-1540.374755859,-1549.530029297,-1590.728759766,-1548.004150391
,32.043457031,-1197.814941406,-1545.715332031,-1549.530029297,-1599.121093750,-1553.344726563
,31.280517578,-1271.057128906,-1544.189453125,-1538.848876953,-1594.543457031,-1550.292968750
,30.517578125,-1337.432861328,-1534.271240234,-1519.775390625,-1578.521728516,-1536.560058594
,28.991699219,-1395.416259766,-1518.249511719,-1491.546630859,-1553.344726563,-1515.197753906
,28.991699219,-1441.192626953,-1499.176025391,-1460.266113281,-1521.301269531,-1490.783691406
,27.465820313,-1474.761962891,-1477.050781250,-1428.985595703,-1486.968994141,-1461.791992188
,25.177001953,-1496.887207031,-1453.399658203,-1395.416259766,-1451.110839844,-1429.748535156
,22.888183594,-1509.094238281,-1428.222656250,-1363.372802734,-1412.963867188,-1396.942138672
,19.073486328,-1511.383056641,-1400.756835938,-1329.040527344,-1374.053955078,-1359.558105469
,17.547607422,-1503.753662109,-1369.476318359,-1292.419433594,-1335.144042969,-1322.174072266
,16.784667969,-1486.968994141,-1334.381103516,-1252.746582031,-1293.945312500,-1282.501220703
,17.547607422,-1463.317871094,-1296.234130859,-1210.784912109,-1253.509521484,-1242.828369141
,18.310546875,-1435.089111328,-1255.798339844,-1168.823242188,-1213.073730469,-1203.155517578
,17.547607422,-1403.808593750,-1213.836669922,-1127.624511719,-1171.875000000,-1164.245605469
,15.258789063,-1371.002197266,-1173.400878906,-1087.188720703,-1130.676269531,-1126.861572266
,12.207031250,-1335.144042969,-1133.728027344,-1049.804687500,-1091.003417969,-1090.240478516
,10.681152344,-1294.708251953,-1095.581054688,-1013.183593750,-1054.382324219,-1055.145263672
,9.155273438,-1251.983642578,-1060.485839844,-978.851318359,-1020.050048828,-1023.101806641
,9.155273438,-1207.733154297,-1026.153564453,-949.859619141,-988.769531250,-991.058349609
,9.155273438,-1165.008544922,-993.347167969,-922.393798828,-961.303710938,-959.014892578
,9.155273438,-1123.809814453,-960.540771484,-896.453857422,-932.312011719,-929.260253906
,9.918212891,-1084.136962891,-926.208496094,-871.276855469,-903.320312500,-897.216796875
,10.681152344,-1044.464111328,-891.876220703,-841.522216797,-874.328613281,-866.699218750
,12.207031250,-1003.265380859,-855.255126953,-808.715820313,-841.522216797,-836.944580078
,13.732910156,-962.829589844,-816.345214844,-774.383544922,-807.952880859,-803.375244141
,13.732910156,-923.156738281,-778.961181641,-738.525390625,-772.857666016,-769.805908203
,14.495849609,-885.772705078,-742.340087891,-704.193115234,-736.236572266,-734.710693359
,15.258789063,-853.729248047,-708.770751953,-672.149658203,-701.904296875,-697.326660156
,15.258789063,-821.685791016,-677.490234375,-642.395019531,-668.334960938,-664.520263672
,16.021728516,-790.405273438,-646.972656250,-614.166259766,-636.291503906,-632.476806641
,17.547607422,-759.887695313,-618.743896484,-585.937500000,-605.773925781,-604.248046875
,18.310546875,-727.081298828,-589.752197266,-559.234619141,-574.493408203,-578.308105469
,19.073486328,-694.274902344,-560.760498047,-532.531738281,-543.212890625,-550.079345703
