Test Name,M-max Lower Leg Ampl Lines
Test Item,Right TA
Patient Name,"post  s2718tdvg"
Patient ID,
Test Date,10/15/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 51 mA : 100 탎","Tr 3 : 100 mA : 100 탎","Tr 4 : 100 mA : 200 탎","Tr 5 : 100 mA : 300 탎","Tr 6 : 100 mA : 300 탎","Tr 7 : 100 mA : 300 탎","Tr 8 : 100 mA : 400 탎","Tr 9 : 100 mA : 400 탎","Tr 10 : 100 mA : 400 탎"
,42.724609375,805.664062500,1287.841796875,4213.714599609,3768.920898438,3823.089599609,2851.867675781,4378.509521484,4032.135009766,3598.022460938
,41.961669922,1161.956787109,1631.927490234,4602.813720703,4192.352294922,4223.632812500,3248.596191406,4720.306396484,4431.915283203,4006.195068359
,41.961669922,1499.176025391,1955.413818359,4938.507080078,4564.666748047,4570.770263672,3600.311279297,4991.149902344,4775.238037109,4355.621337891
,41.198730469,1819.610595703,2259.826660156,5215.454101563,4880.523681641,4862.976074219,3905.487060547,5184.173583984,5053.710937500,4640.197753906
,41.198730469,2120.971679688,2545.928955078,5422.210693359,5133.819580078,5086.517333984,4167.938232422,5282.592773438,5261.993408203,4858.398437500
,43.487548828,2400.970458984,2805.328369141,5543.518066406,5310.058593750,5230.712890625,4387.664794922,5267.333984375,5384.826660156,5008.697509766
,45.013427734,2659.606933594,3034.973144531,5561.065673828,5396.270751953,5277.252197266,4557.800292969,5125.427246094,5405.426025391,5072.021484375
,46.539306641,2895.355224609,3220.367431641,5459.594726563,5373.382568359,5206.298828125,4670.715332031,4847.717285156,5308.532714844,5034.637451172
,46.539306641,3108.978271484,3354.644775391,5229.949951172,5230.712890625,5015.563964844,4707.336425781,4438.781738281,5084.228515625,4877.471923828
,45.013427734,3298.950195313,3433.990478516,4867.553710938,4960.632324219,4695.892333984,4656.219482422,3917.694091797,4725.646972656,4587.554931641
,42.724609375,3463.745117188,3459.167480469,4381.561279297,4561.614990234,4260.253906250,4505.920410156,3311.920166016,4248.046875000,4170.989990234
,38.909912109,3597.259521484,3439.331054688,3789.520263672,4045.867919922,3722.381591797,4248.809814453,2655.029296875,3668.975830078,3651.428222656
,35.858154297,3689.575195313,3377.532958984,3117.370605469,3433.990478516,3108.215332031,3897.857666016,1990.509033203,3020.477294922,3057.861328125
,33.569335938,3737.640380859,3286.743164063,2409.362792969,2754.974365234,2452.087402344,3469.848632813,1351.928710938,2346.038818359,2429.962158203
,31.280517578,3740.692138672,3178.405761719,1705.932617188,2054.595947266,1789.855957031,2997.589111328,773.620605469,1683.044433594,1809.692382813
,32.043457031,3707.885742188,3061.676025391,1047.515869141,1374.053955078,1160.430908203,2516.937255859,280.761718750,1070.404052734,1225.280761719
,32.806396484,3643.798828125,2942.657470703,464.630126953,749.206542969,587.463378906,2051.544189453,-118.255615234,527.191162109,705.718994141
