Test Name,M-max Lower Leg Ampl Lines
Test Item,Left TA
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 150 µs","Tr 2 : 25 mA : 150 µs","Tr 3 : 60 mA : 150 µs","Tr 4 : 80 mA : 150 µs","Tr 5 : 83 mA : 150 µs","Tr 6 : 83 mA : 150 µs"
,57.983398438,91.552734375,223.541259766,274.658203125,321.197509766,224.304199219
,59.509277344,88.500976563,222.778320313,269.317626953,315.856933594,222.778320313
,60.272216797,85.449218750,221.252441406,264.739990234,309.753417969,221.252441406
,61.035156250,81.634521484,218.963623047,257.110595703,298.309326172,215.911865234
,61.798095703,79.345703125,212.097167969,241.088867188,278.472900391,199.127197266
,61.798095703,75.531005859,193.023681641,212.097167969,243.377685547,161.743164063
,62.561035156,70.190429688,156.402587891,160.217285156,182.342529297,91.552734375
,64.086914063,65.612792969,92.315673828,73.242187500,84.686279297,-24.414062500
,65.612792969,57.983398438,-6.866455078,-57.220458984,-61.798095703,-196.838378906
,67.901611328,48.065185547,-152.587890625,-241.851806641,-263.977050781,-427.246093750
,68.664550781,32.806396484,-347.900390625,-483.703613281,-525.665283203,-715.637207031
,68.664550781,6.103515625,-594.329833984,-778.198242188,-842.285156250,-1049.804687500
,67.138671875,-35.858154297,-888.061523438,-1116.943359375,-1200.866699219,-1415.252685547
,67.138671875,-105.285644531,-1216.888427734,-1482.391357422,-1583.862304688,-1789.855957031
,66.375732422,-210.571289063,-1565.551757813,-1849.365234375,-1968.383789063,-2152.252197266
,66.375732422,-358.581542969,-1911.163330078,-2192.687988281,-2326.202392578,-2477.264404297
,64.849853516,-556.945800781,-2231.597900391,-2486.419677734,-2635.192871094,-2746.582031250
,61.035156250,-804.138183594,-2505.493164063,-2710.723876953,-2873.992919922,-2946.472167969
,55.694580078,-1095.581054688,-2714.538574219,-2857.971191406,-3028.106689453,-3067.779541016
,49.591064453,-1420.593261719,-2849.578857422,-2919.006347656,-3087.615966797,-3109.741210938
,42.724609375,-1759.338378906,-2904.510498047,-2892.303466797,-3050.231933594,-3073.883056641
,36.621093750,-2095.031738281,-2877.044677734,-2777.862548828,-2922.821044922,-2972.412109375
,29.754638672,-2404.022216797,-2776.336669922,-2584.075927734,-2716.064453125,-2817.535400391
,23.651123047,-2668.762207031,-2611.541748047,-2320.861816406,-2441.406250000,-2623.748779297
,17.547607422,-2877.807617188,-2391.815185547,-2003.479003906,-2112.579345703,-2400.207519531
,11.444091797,-3019.714355469,-2133.178710938,-1643.371582031,-1735.687255859,-2152.252197266
,7.629394531,-3094.482421875,-1835.632324219,-1245.117187500,-1316.070556641,-1879.119873047
,6.103515625,-3101.348876953,-1501.464843750,-814.056396484,-859.069824219,-1580.047607422
,6.866455078,-3049.468994141,-1129.913330078,-349.426269531,-368.499755859,-1253.509521484
,9.155273438,-2952.575683594,-717.926025391,144.195556641,145.721435547,-896.453857422
,12.207031250,-2819.824218750,-267.028808594,666.046142578,678.253173828,-514.221191406
,13.732910156,-2666.473388672,218.963623047,1208.496093750,1224.517822266,-108.337402344
,15.258789063,-2494.049072266,735.473632813,1762.390136719,1773.071289063,318.908691406
,16.021728516,-2304.840087891,1274.108886719,2313.232421875,2313.232421875,764.465332031
,16.021728516,-2101.135253906,1823.425292969,2843.475341797,2830.505371094,1232.910156250
,16.021728516,-1872.253417969,2373.504638672,3338.623046875,3308.105468750,1724.243164063
,14.495849609,-1618.957519531,2911.376953125,3784.179687500,3742.980957031,2235.412597656
,13.732910156,-1334.381103516,3431.701660156,4183.959960938,4141.998291016,2766.418457031
,12.969970703,-1017.761230469,3935.241699219,4546.356201172,4514.312744141,3306.579589844
,13.732910156,-672.149658203,4415.893554688,4878.234863281,4864.501953125,3837.585449219
,15.258789063,-298.309326172,4863.739013672,5178.070068359,5176.544189453,4336.547851563
,16.784667969,96.893310547,5244.445800781,5416.870117188,5415.344238281,4771.423339844
,20.599365234,513.458251953,5524.444580078,5567.169189453,5553.436279297,5107.116699219
,25.177001953,943.756103516,5674.743652344,5609.130859375,5577.087402344,5329.132080078
,28.228759766,1383.209228516,5687.713623047,5543.518066406,5499.267578125,5423.736572266
,33.569335938,1830.291748047,5582.427978516,5395.507812500,5345.153808594,5397.796630859
,36.621093750,2275.848388672,5389.404296875,5187.988281250,5140.686035156,5272.674560547
,38.909912109,2711.486816406,5139.923095703,4940.032958984,4901.123046875,5064.392089844
,41.961669922,3118.133544922,4857.635498047,4661.560058594,4630.279541016,4804.229736328
,44.250488281,3476.715087891,4555.511474609,4358.673095703,4334.259033203,4512.786865234
,47.302246094,3773.498535156,4248.809814453,4039.001464844,4015.350341797,4205.322265625
,48.828125000,3997.039794922,3946.685791016,3708.648681641,3678.131103516,3897.094726563
,51.116943359,4151.916503906,3656.768798828,3376.007080078,3333.282470703,3595.733642578
,52.642822266,4244.232177734,3392.028808594,3045.654296875,2986.907958984,3311.920166016
,54.168701172,4284.667968750,3149.414062500,2725.219726563,2646.636962891,3054.809570313
,57.220458984,4281.616210938,2925.109863281,2425.384521484,2326.965332031,2828.979492188
,59.509277344,4235.839843750,2721.405029297,2153.015136719,2031.707763672,2629.852294922
,61.798095703,4145.812988281,2529.907226563,1917.266845703,1775.360107422,2447.509765625
,65.612792969,4013.824462891,2353.668212891,1721.954345703,1561.737060547,2270.507812500
,69.427490234,3842.926025391,2187.347412109,1560.974121094,1389.312744141,2095.031738281
,73.242187500,3643.798828125,2024.841308594,1434.326171875,1258.087158203,1920.318603516
,77.819824219,3430.938720703,1864.624023438,1334.381103516,1157.379150391,1754.760742188
,80.871582031,3216.552734375,1705.169677734,1254.272460938,1081.848144531,1596.832275391
,83.160400391,3008.270263672,1554.870605469,1189.422607422,1022.338867188,1441.955566406
