Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 19 mA : 100 탎","Tr 3 : 19 mA : 100 탎","Tr 4 : 19 mA : 100 탎","Tr 5 : 19 mA : 100 탎","Tr 6 : 94 mA : 100 탎","Tr 7 : 94 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 150 탎","Tr 10 : 100 mA : 200 탎","Tr 11 : 100 mA : 200 탎"
,55.694580078,47.302246094,16.021728516,25.939941406,30.517578125,40.435791016,107.574462891,43.487548828,-77.056884766,-41.961669922,25.939941406
,55.694580078,44.250488281,17.547607422,23.651123047,28.991699219,41.961669922,105.285644531,44.250488281,-72.479248047,-45.013427734,23.651123047
,55.694580078,41.961669922,19.836425781,20.599365234,27.465820313,42.724609375,102.996826172,45.013427734,-68.664550781,-48.065185547,22.125244141
,54.931640625,41.198730469,22.888183594,19.073486328,26.702880859,43.487548828,100.708007813,45.013427734,-64.086914063,-51.116943359,21.362304688
,53.405761719,40.435791016,25.177001953,17.547607422,23.651123047,42.724609375,99.182128906,45.776367188,-60.272216797,-52.642822266,19.836425781
,51.116943359,39.672851563,28.228759766,16.021728516,21.362304688,40.435791016,96.893310547,46.539306641,-58.746337891,-52.642822266,18.310546875
,48.828125000,38.909912109,30.517578125,15.258789063,19.073486328,39.672851563,95.367431641,48.065185547,-56.457519531,-51.116943359,16.784667969
,45.776367188,37.384033203,32.043457031,13.732910156,16.021728516,37.384033203,94.604492188,50.354003906,-56.457519531,-48.065185547,16.021728516
,44.250488281,36.621093750,34.332275391,11.444091797,14.495849609,35.095214844,93.078613281,53.405761719,-56.457519531,-44.250488281,16.784667969
,41.961669922,35.095214844,35.858154297,9.918212891,12.969970703,34.332275391,90.026855469,56.457519531,-55.694580078,-40.435791016,16.784667969
,39.672851563,33.569335938,36.621093750,8.392333984,12.207031250,32.043457031,87.738037109,57.983398438,-54.931640625,-36.621093750,17.547607422
,35.858154297,29.754638672,38.146972656,7.629394531,12.207031250,31.280517578,85.449218750,58.746337891,-53.405761719,-32.043457031,19.073486328
,32.043457031,26.702880859,38.909912109,7.629394531,12.207031250,29.754638672,83.160400391,59.509277344,-51.879882813,-27.465820313,21.362304688
,26.702880859,22.125244141,38.909912109,7.629394531,11.444091797,26.702880859,81.634521484,60.272216797,-51.116943359,-22.888183594,22.888183594
,22.888183594,18.310546875,39.672851563,7.629394531,10.681152344,23.651123047,81.634521484,61.035156250,-49.591064453,-19.073486328,24.414062500
,19.073486328,16.021728516,39.672851563,9.155273438,10.681152344,22.888183594,81.634521484,62.561035156,-49.591064453,-16.021728516,24.414062500
,16.021728516,11.444091797,39.672851563,9.918212891,9.918212891,20.599365234,82.397460938,64.849853516,-48.828125000,-12.207031250,22.888183594
,12.969970703,7.629394531,38.909912109,12.207031250,8.392333984,19.836425781,83.923339844,66.375732422,-45.776367188,-7.629394531,22.125244141
,9.918212891,3.814697266,38.909912109,13.732910156,7.629394531,18.310546875,84.686279297,66.375732422,-42.724609375,-3.051757813,21.362304688
,6.103515625,0.762939453,38.909912109,14.495849609,6.103515625,16.021728516,86.212158203,66.375732422,-39.672851563,2.288818359,21.362304688
,2.288818359,-0.762939453,39.672851563,15.258789063,4.577636719,12.969970703,86.212158203,65.612792969,-34.332275391,6.866455078,22.888183594
,-0.762939453,-1.525878906,40.435791016,14.495849609,4.577636719,12.207031250,86.212158203,64.849853516,-31.280517578,9.918212891,25.177001953
,-4.577636719,-2.288818359,41.198730469,13.732910156,4.577636719,10.681152344,85.449218750,64.849853516,-28.228759766,14.495849609,27.465820313
,-8.392333984,-3.051757813,41.961669922,12.207031250,4.577636719,10.681152344,85.449218750,64.849853516,-25.177001953,17.547607422,28.991699219
,-11.444091797,-3.814697266,41.961669922,10.681152344,6.103515625,9.918212891,83.923339844,64.086914063,-23.651123047,21.362304688,32.806396484
,-15.258789063,-4.577636719,41.961669922,9.918212891,7.629394531,9.918212891,83.160400391,65.612792969,-22.125244141,25.939941406,35.095214844
,-17.547607422,-6.103515625,41.198730469,9.918212891,8.392333984,10.681152344,81.634521484,64.849853516,-21.362304688,29.754638672,38.146972656
,-20.599365234,-6.866455078,40.435791016,9.155273438,8.392333984,10.681152344,79.345703125,64.086914063,-20.599365234,33.569335938,41.198730469
,-22.888183594,-8.392333984,38.909912109,8.392333984,7.629394531,12.207031250,78.582763672,63.323974609,-19.836425781,35.858154297,43.487548828
,-25.177001953,-9.155273438,38.146972656,7.629394531,6.103515625,12.207031250,78.582763672,61.035156250,-19.073486328,37.384033203,45.776367188
,-27.465820313,-8.392333984,37.384033203,7.629394531,5.340576172,11.444091797,77.819824219,60.272216797,-16.784667969,38.146972656,46.539306641
,-28.228759766,-6.866455078,35.858154297,6.866455078,4.577636719,11.444091797,77.056884766,59.509277344,-14.495849609,38.146972656,46.539306641
,-28.228759766,-4.577636719,35.095214844,6.103515625,3.814697266,9.918212891,75.531005859,57.983398438,-13.732910156,38.146972656,47.302246094
,-28.228759766,-2.288818359,33.569335938,4.577636719,3.051757813,10.681152344,73.242187500,56.457519531,-12.207031250,38.909912109,45.776367188
,-28.228759766,-0.762939453,33.569335938,3.051757813,1.525878906,10.681152344,71.716308594,54.168701172,-11.444091797,39.672851563,45.776367188
,-28.228759766,-0.762939453,34.332275391,0.762939453,0.000000000,10.681152344,70.190429688,52.642822266,-11.444091797,40.435791016,45.776367188
,-29.754638672,0.000000000,33.569335938,-0.762939453,-2.288818359,10.681152344,68.664550781,52.642822266,-10.681152344,40.435791016,44.250488281
,-31.280517578,0.000000000,33.569335938,-2.288818359,-4.577636719,9.918212891,65.612792969,51.116943359,-11.444091797,39.672851563,45.013427734
,-32.806396484,-0.762939453,32.043457031,-3.814697266,-6.103515625,9.155273438,64.086914063,50.354003906,-12.969970703,38.909912109,45.776367188
,-35.095214844,-2.288818359,28.991699219,-5.340576172,-8.392333984,7.629394531,61.035156250,48.828125000,-12.969970703,38.146972656,47.302246094
,-38.146972656,-4.577636719,26.702880859,-6.103515625,-9.155273438,6.866455078,59.509277344,45.776367188,-14.495849609,38.146972656,50.354003906
,-41.961669922,-6.866455078,25.177001953,-6.103515625,-9.918212891,6.103515625,59.509277344,45.013427734,-16.021728516,40.435791016,52.642822266
,-45.776367188,-9.918212891,22.888183594,-5.340576172,-9.918212891,4.577636719,59.509277344,42.724609375,-17.547607422,41.961669922,54.931640625
,-48.828125000,-12.207031250,21.362304688,-3.814697266,-9.918212891,3.814697266,59.509277344,39.672851563,-19.836425781,43.487548828,57.983398438
,-51.116943359,-12.969970703,18.310546875,-1.525878906,-9.155273438,2.288818359,61.035156250,37.384033203,-21.362304688,45.013427734,59.509277344
,-52.642822266,-14.495849609,15.258789063,-0.762939453,-8.392333984,0.762939453,61.798095703,34.332275391,-22.888183594,46.539306641,61.035156250
,-54.168701172,-14.495849609,12.969970703,0.000000000,-8.392333984,0.000000000,62.561035156,31.280517578,-22.888183594,48.065185547,62.561035156
,-55.694580078,-13.732910156,10.681152344,0.000000000,-8.392333984,-1.525878906,64.086914063,28.228759766,-22.888183594,49.591064453,63.323974609
,-57.220458984,-15.258789063,9.155273438,0.000000000,-8.392333984,-3.051757813,65.612792969,25.177001953,-22.888183594,51.116943359,64.849853516
,-57.983398438,-16.784667969,8.392333984,0.762939453,-9.155273438,-4.577636719,67.138671875,22.888183594,-23.651123047,51.879882813,65.612792969
,-58.746337891,-18.310546875,8.392333984,3.051757813,-9.155273438,-6.866455078,68.664550781,20.599365234,-25.939941406,54.168701172,66.375732422
,-58.746337891,-21.362304688,7.629394531,5.340576172,-8.392333984,-6.866455078,68.664550781,19.836425781,-28.228759766,57.220458984,67.901611328
,-57.220458984,-22.888183594,6.866455078,7.629394531,-8.392333984,-7.629394531,69.427490234,18.310546875,-29.754638672,59.509277344,68.664550781
,-54.931640625,-23.651123047,7.629394531,9.918212891,-6.866455078,-8.392333984,69.427490234,16.784667969,-32.043457031,61.798095703,69.427490234
,-51.879882813,-23.651123047,9.155273438,11.444091797,-6.103515625,-6.866455078,69.427490234,15.258789063,-33.569335938,64.086914063,70.190429688
,-48.828125000,-22.125244141,10.681152344,12.207031250,-6.103515625,-7.629394531,70.190429688,13.732910156,-35.858154297,66.375732422,70.190429688
,-47.302246094,-21.362304688,12.969970703,12.969970703,-5.340576172,-6.866455078,70.190429688,12.207031250,-38.146972656,68.664550781,70.190429688
,-45.776367188,-19.836425781,12.969970703,14.495849609,-3.814697266,-3.814697266,72.479248047,11.444091797,-40.435791016,71.716308594,70.190429688
,-45.013427734,-19.073486328,12.969970703,16.021728516,-1.525878906,-1.525878906,74.005126953,10.681152344,-42.724609375,74.005126953,69.427490234
,-45.013427734,-19.073486328,12.207031250,17.547607422,0.762939453,0.000000000,74.768066406,9.918212891,-44.250488281,76.293945313,68.664550781
,-45.013427734,-19.073486328,11.444091797,19.073486328,3.051757813,1.525878906,76.293945313,9.918212891,-45.776367188,78.582763672,67.138671875
,-44.250488281,-19.073486328,11.444091797,20.599365234,5.340576172,1.525878906,76.293945313,9.918212891,-48.065185547,80.108642578,66.375732422
,-43.487548828,-19.073486328,12.969970703,21.362304688,6.866455078,2.288818359,74.768066406,10.681152344,-48.065185547,81.634521484,64.849853516
,-42.724609375,-18.310546875,12.207031250,22.888183594,8.392333984,2.288818359,75.531005859,10.681152344,-48.065185547,83.160400391,64.086914063
,-40.435791016,-16.784667969,12.207031250,22.125244141,9.155273438,3.051757813,75.531005859,10.681152344,-47.302246094,84.686279297,63.323974609
,-38.909912109,-13.732910156,11.444091797,21.362304688,10.681152344,4.577636719,77.056884766,9.918212891,-45.013427734,86.975097656,61.798095703
,-35.858154297,-9.155273438,8.392333984,20.599365234,11.444091797,4.577636719,78.582763672,8.392333984,-44.250488281,89.263916016,60.272216797
,-31.280517578,-5.340576172,8.392333984,20.599365234,12.969970703,7.629394531,79.345703125,6.866455078,-43.487548828,91.552734375,58.746337891
,-26.702880859,-2.288818359,6.866455078,22.125244141,13.732910156,9.155273438,80.108642578,5.340576172,-44.250488281,92.315673828,57.220458984
,-22.888183594,0.000000000,6.103515625,23.651123047,14.495849609,11.444091797,78.582763672,4.577636719,-45.013427734,92.315673828,56.457519531
,-18.310546875,0.000000000,6.866455078,25.939941406,16.784667969,15.258789063,78.582763672,3.814697266,-45.013427734,92.315673828,57.220458984
,-15.258789063,0.762939453,5.340576172,28.991699219,17.547607422,16.784667969,79.345703125,3.051757813,-45.013427734,91.552734375,58.746337891
,-12.969970703,2.288818359,4.577636719,30.517578125,18.310546875,17.547607422,80.871582031,1.525878906,-43.487548828,92.315673828,59.509277344
,-10.681152344,3.814697266,3.051757813,35.095214844,18.310546875,18.310546875,83.923339844,0.762939453,-41.961669922,95.367431641,59.509277344
,-9.155273438,6.103515625,1.525878906,38.146972656,17.547607422,18.310546875,85.449218750,0.000000000,-41.198730469,99.945068359,58.746337891
,-7.629394531,7.629394531,0.000000000,39.672851563,19.836425781,18.310546875,86.212158203,-2.288818359,-38.909912109,103.759765625,57.220458984
,-6.103515625,9.155273438,-1.525878906,41.961669922,21.362304688,19.836425781,86.975097656,-3.051757813,-38.146972656,109.100341797,54.931640625
,-6.103515625,9.918212891,-3.051757813,41.961669922,24.414062500,21.362304688,87.738037109,-5.340576172,-36.621093750,112.152099609,51.879882813
,-5.340576172,10.681152344,-3.814697266,43.487548828,27.465820313,23.651123047,87.738037109,-7.629394531,-34.332275391,115.966796875,48.065185547
,-5.340576172,11.444091797,-5.340576172,45.776367188,29.754638672,24.414062500,90.026855469,-9.918212891,-33.569335938,118.255615234,44.250488281
,-4.577636719,10.681152344,-6.103515625,47.302246094,33.569335938,25.939941406,92.315673828,-12.207031250,-31.280517578,119.781494141,39.672851563
,-3.051757813,11.444091797,-6.866455078,48.828125000,35.095214844,26.702880859,93.841552734,-12.969970703,-31.280517578,119.781494141,36.621093750
,-1.525878906,12.207031250,-7.629394531,48.828125000,36.621093750,27.465820313,95.367431641,-14.495849609,-32.806396484,119.018554688,33.569335938
,1.525878906,13.732910156,-7.629394531,48.828125000,37.384033203,29.754638672,96.130371094,-15.258789063,-34.332275391,119.018554688,32.043457031
,4.577636719,16.784667969,-6.866455078,48.828125000,36.621093750,32.806396484,95.367431641,-14.495849609,-36.621093750,119.018554688,31.280517578
,6.866455078,20.599365234,-6.103515625,47.302246094,37.384033203,34.332275391,95.367431641,-13.732910156,-39.672851563,118.255615234,30.517578125
,10.681152344,24.414062500,-3.814697266,47.302246094,37.384033203,37.384033203,93.841552734,-12.207031250,-41.961669922,118.255615234,28.991699219
,13.732910156,28.991699219,-1.525878906,46.539306641,38.909912109,38.909912109,93.078613281,-10.681152344,-43.487548828,116.729736328,27.465820313
,17.547607422,32.043457031,0.000000000,45.013427734,39.672851563,40.435791016,92.315673828,-10.681152344,-44.250488281,115.203857422,26.702880859
,22.888183594,35.095214844,3.051757813,45.013427734,39.672851563,42.724609375,91.552734375,-9.155273438,-45.776367188,115.203857422,24.414062500
,26.702880859,38.146972656,4.577636719,44.250488281,39.672851563,44.250488281,90.026855469,-8.392333984,-47.302246094,114.440917969,24.414062500
,28.991699219,40.435791016,5.340576172,45.013427734,38.909912109,46.539306641,87.738037109,-7.629394531,-49.591064453,114.440917969,25.177001953
,30.517578125,42.724609375,6.103515625,45.776367188,39.672851563,48.828125000,86.212158203,-5.340576172,-52.642822266,114.440917969,25.177001953
,31.280517578,44.250488281,6.103515625,46.539306641,40.435791016,50.354003906,83.923339844,-3.814697266,-53.405761719,115.203857422,25.177001953
,31.280517578,45.776367188,5.340576172,48.065185547,41.961669922,52.642822266,81.634521484,-3.051757813,-53.405761719,115.966796875,24.414062500
,32.806396484,46.539306641,6.103515625,48.065185547,42.724609375,52.642822266,80.108642578,-2.288818359,-51.879882813,116.729736328,25.177001953
