Test Name,M-max Lower Leg Ampl Lines
Test Item,Right Gastroc
Patient Name,"pre  s2712tdvg"
Patient ID,
Test Date,1/29/2019
Trace Label,"Tr 1 : 0 mA : 100 탎","Tr 2 : 19 mA : 100 탎","Tr 3 : 19 mA : 100 탎","Tr 4 : 19 mA : 100 탎","Tr 5 : 19 mA : 100 탎","Tr 6 : 94 mA : 100 탎","Tr 7 : 94 mA : 100 탎","Tr 8 : 100 mA : 100 탎","Tr 9 : 100 mA : 150 탎","Tr 10 : 100 mA : 200 탎","Tr 11 : 100 mA : 200 탎"
,51.116943359,-13.732910156,-16.021728516,5.340576172,9.155273438,-1104.736328125,-6485.748291016,-7183.837890625,-8355.712890625,-8290.100097656,-8348.083496094
,48.828125000,-14.495849609,-15.258789063,4.577636719,10.681152344,-1217.651367188,-6813.812255859,-7594.299316406,-8605.957031250,-8703.613281250,-8702.087402344
,46.539306641,-15.258789063,-12.969970703,3.051757813,12.207031250,-1358.032226563,-7008.361816406,-7826.232910156,-8680.725097656,-8927.917480469,-8871.459960938
,45.013427734,-16.021728516,-12.207031250,2.288818359,12.969970703,-1499.176025391,-7070.922851563,-7884.979248047,-8580.780029297,-8959.960937500,-8837.127685547
,44.250488281,-16.784667969,-12.969970703,0.762939453,13.732910156,-1608.276367188,-6994.628906250,-7775.115966797,-8316.802978516,-8801.269531250,-8598.327636719
,44.250488281,-18.310546875,-12.207031250,-0.762939453,12.969970703,-1659.393310547,-6786.346435547,-7508.087158203,-7897.186279297,-8469.390869141,-8172.607421875
,44.250488281,-18.310546875,-12.969970703,-3.814697266,11.444091797,-1639.556884766,-6443.023681641,-7093.811035156,-7321.166992188,-7987.213134766,-7573.699951172
,45.013427734,-19.836425781,-11.444091797,-5.340576172,9.155273438,-1545.715332031,-5955.505371094,-6529.998779297,-6580.352783203,-7359.313964844,-6815.338134766
,45.013427734,-20.599365234,-8.392333984,-7.629394531,6.866455078,-1383.209228516,-5316.925048828,-5809.020996094,-5664.062500000,-6584.930419922,-5902.862548828
,45.013427734,-20.599365234,-5.340576172,-9.155273438,4.577636719,-1165.771484375,-4526.519775391,-4927.062988281,-4569.244384766,-5647.277832031,-4833.221435547
,44.250488281,-21.362304688,-1.525878906,-10.681152344,3.051757813,-902.557373047,-3594.970703125,-3881.072998047,-3303.527832031,-4534.912109375,-3623.199462891
,41.961669922,-20.599365234,1.525878906,-11.444091797,1.525878906,-605.010986328,-2537.536621094,-2667.999267578,-1895.904541016,-3256.988525391,-2291.870117188
,40.435791016,-21.362304688,4.577636719,-12.969970703,0.000000000,-278.472900391,-1377.105712891,-1309.967041016,-395.202636719,-1847.076416016,-873.565673828
,38.909912109,-21.362304688,7.629394531,-12.969970703,0.000000000,80.871582031,-138.092041016,148.773193359,1144.409179688,-370.788574219,581.359863281
,37.384033203,-22.125244141,10.681152344,-12.969970703,-1.525878906,476.074218750,1151.275634766,1651.763916016,2672.576904297,1098.632812500,2034.759521484
,35.858154297,-22.888183594,13.732910156,-12.969970703,-2.288818359,901.031494141,2457.427978516,3128.051757813,4151.916503906,2513.885498047,3450.775146484
,33.569335938,-23.651123047,16.021728516,-12.207031250,-3.814697266,1341.247558594,3730.773925781,4524.230957031,5558.013916016,3849.029541016,4806.518554688
,28.991699219,-25.177001953,18.310546875,-12.207031250,-4.577636719,1767.730712891,4927.062988281,5800.628662109,6858.062744141,5110.168457031,6087.493896484
,25.177001953,-27.465820313,19.836425781,-11.444091797,-5.340576172,2148.437500000,5989.074707031,6928.253173828,7996.368408203,6300.354003906,7248.687744141
,20.599365234,-30.517578125,21.362304688,-11.444091797,-6.103515625,2455.139160156,6867.980957031,7872.772216797,8901.977539063,7380.676269531,8226.013183594
,16.784667969,-32.806396484,21.362304688,-10.681152344,-8.392333984,2664.184570313,7524.871826172,8584.594726563,9494.018554688,8287.811279297,8942.413330078
,15.258789063,-36.621093750,20.599365234,-9.155273438,-14.495849609,2764.129638672,7923.889160156,9014.129638672,9725.189208984,8932.495117188,9322.357177734
,13.732910156,-39.672851563,19.836425781,-8.392333984,-21.362304688,2748.870849609,8065.795898438,9119.415283203,9609.222412109,9251.403808594,9346.771240234
,12.207031250,-42.724609375,18.310546875,-6.866455078,-29.754638672,2629.852294922,7960.510253906,8900.451660156,9197.998046875,9239.196777344,9049.987792969
,10.681152344,-46.539306641,18.310546875,-6.103515625,-35.858154297,2423.095703125,7638.549804688,8404.541015625,8592.224121094,8935.546875000,8507.537841797
,7.629394531,-48.065185547,19.073486328,-5.340576172,-36.621093750,2159.881591797,7157.135009766,7717.132568359,7894.897460938,8425.903320313,7826.995849609
,5.340576172,-50.354003906,19.836425781,-4.577636719,-35.095214844,1873.779296875,6574.249267578,6944.274902344,7180.023193359,7806.396484375,7102.966308594
,3.051757813,-51.879882813,21.362304688,-3.814697266,-30.517578125,1595.306396484,5950.927734375,6177.520751953,6500.244140625,7150.268554688,6402.587890625
,0.762939453,-53.405761719,22.125244141,-3.814697266,-26.702880859,1347.351074219,5336.761474609,5477.142333984,5876.922607422,6510.925292969,5764.770507813
,0.000000000,-54.931640625,22.888183594,-5.340576172,-24.414062500,1135.253906250,4757.690429688,4869.079589844,5319.213867188,5919.647216797,5204.772949219
,-0.762939453,-54.931640625,23.651123047,-6.866455078,-22.888183594,954.437255859,4224.395751953,4353.332519531,4828.643798828,5380.249023438,4714.965820313
,-2.288818359,-54.168701172,22.888183594,-9.155273438,-22.125244141,790.405273438,3734.588623047,3914.642333984,4396.820068359,4897.308349609,4286.956787109
,-3.051757813,-53.405761719,22.125244141,-10.681152344,-22.125244141,628.662109375,3282.928466797,3533.935546875,4012.298583984,4463.958740234,3900.909423828
,-5.340576172,-52.642822266,21.362304688,-9.918212891,-22.125244141,458.526611328,2863.311767578,3195.953369141,3658.294677734,4064.178466797,3540.039062500
,-5.340576172,-51.879882813,20.599365234,-9.155273438,-22.125244141,278.472900391,2474.212646484,2880.096435547,3313.446044922,3691.101074219,3190.612792969
,-3.814697266,-51.116943359,20.599365234,-8.392333984,-23.651123047,89.263916016,2110.290527344,2574.920654297,2967.071533203,3324.890136719,2838.134765625
,-3.051757813,-49.591064453,20.599365234,-8.392333984,-23.651123047,-99.945068359,1768.493652344,2272.033691406,2610.015869141,2954.864501953,2482.604980469
,0.000000000,-48.828125000,19.836425781,-10.681152344,-24.414062500,-283.050537109,1451.110839844,1961.517333984,2245.330810547,2578.735351563,2119.445800781
,2.288818359,-48.065185547,19.073486328,-12.969970703,-25.939941406,-453.948974609,1158.142089844,1646.423339844,1884.460449219,2192.687988281,1756.286621094
,4.577636719,-46.539306641,18.310546875,-15.258789063,-25.939941406,-605.010986328,891.876220703,1331.329345703,1539.611816406,1809.692382813,1406.097412109
,5.340576172,-45.013427734,18.310546875,-17.547607422,-27.465820313,-735.473632813,653.076171875,1022.338867188,1214.599609375,1442.718505859,1074.981689453
,4.577636719,-44.250488281,17.547607422,-18.310546875,-28.228759766,-846.862792969,439.453125000,728.607177734,908.660888672,1096.343994141,765.991210938
,3.814697266,-43.487548828,17.547607422,-18.310546875,-28.228759766,-938.415527344,244.903564453,453.186035156,618.743896484,773.620605469,479.888916016
,2.288818359,-44.250488281,17.547607422,-18.310546875,-28.991699219,-1011.657714844,68.664550781,197.601318359,346.374511719,473.785400391,215.911865234
,1.525878906,-45.013427734,16.784667969,-17.547607422,-28.991699219,-1067.352294922,-90.789794922,-38.909912109,96.893310547,200.653076172,-25.939941406
,1.525878906,-45.776367188,15.258789063,-16.784667969,-27.465820313,-1106.262207031,-231.170654297,-253.295898438,-120.544433594,-42.724609375,-240.325927734
,0.000000000,-47.302246094,14.495849609,-16.021728516,-27.465820313,-1129.913330078,-353.240966797,-442.504882813,-302.886962891,-252.532958984,-425.720214844
,-0.762939453,-48.065185547,12.207031250,-15.258789063,-26.702880859,-1140.594482422,-454.711914063,-600.433349609,-447.845458984,-426.483154297,-579.833984375
