Trace Label,"Tr 1 : 100 mA","Tr 2 : 84 mA","Tr 3 : 28 mA","Tr 4 : 28 mA","Tr 5 : 41 mA","Tr 6 : 43 mA","Tr 7 : 45 mA","Tr 8 : 47 mA","Tr 9 : 48 mA","Tr 10 : 49 mA","Tr 11 : 51 mA","Tr 12 : 53 mA","Tr 13 : 55 mA","Tr 14 : 57 mA","Tr 15 : 58 mA","Tr 16 : 59 mA","Tr 17 : 60 mA","Tr 18 : 61 mA","Tr 19 : 62 mA","Tr 20 : 63 mA","Tr 21 : 66 mA","Tr 22 : 68 mA","Tr 23 : 48 mA","Tr 24 : 46 mA","Tr 25 : 43 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),13236.999511719,11931.610107422,4713.439941406,17989.349365234,11761.474609375,10137.939453125,16707.611083984,11557.769775391,6657.409667969,4438.781738281,8395.385742188,4326.629638672,4286.956787109,8673.095703125,6317.901611328,19699.096679688,4489.898681641,11423.492431641,11602.783203125,21828.460693359,17647.552490234,12136.077880859,8630.371093750,11967.468261719,17997.741699219
,-13047.790527344,-9001.922607422,-3611.755371094,-3051.757812500,-4644.775390625,-4791.259765625,-5221.557617188,-5371.093750000,-5476.379394531,-5852.508544922,-5857.086181641,-6270.599365234,-6829.071044922,-6993.103027344,-7283.020019531,-7337.951660156,-7526.397705078,-7272.338867188,-7695.770263672,-7532.501220703,-7977.294921875,-8473.205566406,-5830.383300781,-5698.394775391,-5147.552490234
,-12897.491455078,-8894.348144531,-3556.060791016,-3006.744384766,-4583.740234375,-4730.224609375,-5156.707763672,-5303.955078125,-5402.374267578,-5776.977539063,-5782.318115234,-6192.779541016,-6743.621826172,-6906.890869141,-7192.230224609,-7247.924804688,-7433.319091797,-7186.126708984,-7603.454589844,-7440.948486328,-7881.927490234,-8370.208740234,-5758.666992188,-5625.915527344,-5081.939697266
,-12748.718261719,-8787.536621094,-3501.892089844,-2963.256835938,-4524.230957031,-4669.952392578,-5091.857910156,-5238.342285156,-5329.895019531,-5703.735351563,-5709.838867188,-6117.248535156,-6658.172607422,-6822.204589844,-7103.729248047,-7157.897949219,-7343.292236328,-7099.914550781,-7512.664794922,-7350.921630859,-7788.848876953,-8268.737792969,-5688.476562500,-5554.962158203,-5017.089843750
,-12602.996826172,-8680.725097656,-3449.249267578,-2919.769287109,-4466.247558594,-4611.206054688,-5027.008056641,-5172.729492188,-5259.704589844,-5631.256103516,-5639.648437500,-6043.243408203,-6575.775146484,-6738.281250000,-7015.991210938,-7070.159912109,-7254.028320313,-7016.754150391,-7422.637939453,-7261.657714844,-7695.770263672,-8168.029785156,-5619.049072266,-5485.534667969,-4953.765869141
,-12459.564208984,-8574.676513672,-3398.132324219,-2877.807617188,-4411.315917969,-4553.985595703,-4963.684082031,-5107.879638672,-5191.802978516,-5559.539794922,-5570.220947266,-5970.764160156,-6495.666503906,-6654.357910156,-6930.541992188,-6983.947753906,-7164.764404297,-6935.119628906,-7332.611083984,-7174.682617188,-7604.217529297,-8069.610595703,-5550.384521484,-5416.870117188,-4890.441894531
,-12318.420410156,-8470.153808594,-3346.252441406,-2837.371826172,-4356.384277344,-4498.291015625,-4901.885986328,-5043.792724609,-5123.901367188,-5489.349365234,-5501.556396484,-5898.284912109,-6416.320800781,-6571.960449219,-6845.855712891,-6899.261474609,-7075.500488281,-6852.722167969,-7244.110107422,-7089.996337891,-7512.664794922,-7972.717285156,-5484.008789063,-5350.494384766,-4827.880859375
,-12178.039550781,-8367.919921875,-3296.661376953,-2796.936035156,-4302.978515625,-4444.122314453,-4840.850830078,-4981.231689453,-5057.525634766,-5419.921875000,-5435.180664063,-5827.331542969,-6340.026855469,-6489.562988281,-6761.169433594,-6817.626953125,-6989.288330078,-6772.613525391,-7157.135009766,-7006.072998047,-7422.637939453,-7875.823974609,-5417.633056641,-5284.118652344,-4766.082763672
,-12039.184570313,-8266.448974609,-3247.833251953,-2757.263183594,-4249.572753906,-4392.242431641,-4782.104492188,-4920.959472656,-4992.675781250,-5354.309082031,-5370.330810547,-5758.666992188,-6263.732910156,-6409.454345703,-6679.534912109,-6737.518310547,-6904.602050781,-6691.741943359,-7071.685791016,-6923.675537109,-7334.136962891,-7781.219482422,-5352.783203125,-5217.742919922,-4705.047607422
,-11900.329589844,-8167.266845703,-3199.768066406,-2717.590332031,-4196.929931641,-4339.599609375,-4724.121093750,-4862.213134766,-4928.588867188,-5289.459228516,-5307.006835938,-5691.528320313,-6188.201904297,-6332.397460938,-6599.426269531,-6658.172607422,-6822.967529297,-6612.396240234,-6987.762451172,-6840.515136719,-7246.398925781,-7687.377929688,-5287.933349609,-5152.130126953,-4644.775390625
,-11763.000488281,-8068.847656250,-3153.228759766,-2677.917480469,-4145.050048828,-4287.719726563,-4666.900634766,-4804.992675781,-4866.027832031,-5226.898193359,-5246.734619141,-5625.915527344,-6113.433837891,-6257.629394531,-6520.843505859,-6580.352783203,-6742.858886719,-6535.339355469,-6904.602050781,-6758.880615234,-7160.186767578,-7594.299316406,-5225.372314453,-5087.280273438,-4585.266113281
