Test Name,H-Reflex Inc-Dec
Test Item,Left Increasing -> M-max
Patient Name,"week5  s2811mytb"
Patient ID,
Test Date,6/4/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 0 mA","Tr 3 : 11 mA","Tr 4 : 14.5 mA","Tr 5 : 30 mA","Tr 6 : 30 mA","Tr 7 : 30 mA","Tr 8 : 46 mA","Tr 9 : 52 mA","Tr 10 : 62 mA","Tr 11 : 100 mA","Tr 12 : 100 mA","Tr 13 : 100 mA","Tr 14 : 100 mA","Tr 15 : 100 mA","Tr 16 : 100 mA","Tr 17 : 100 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,-6.103515625,9650.421142578,13212.585449219,4141.235351563,14098.358154297,8767.700195313,17343.139648438,15901.184082031,7566.833496094,8449.554443359,6823.730468750,10192.871093750,13160.705566406,8396.148681641,15553.283691406,11092.376708984
,64.086914063,53.405761719,-1319.885253906,-1444.244384766,-3163.146972656,-2421.569824219,-2230.834960938,-5105.590820313,-5483.245849609,-6632.232666016,-8367.156982422,-9137.725830078,-9900.665283203,-10733.795166016,-10815.429687500,-10843.658447266,-10584.259033203
,61.035156250,55.694580078,-1304.626464844,-1426.696777344,-3122.711181641,-2384.948730469,-2197.265625000,-5061.340332031,-5451.202392578,-6597.900390625,-8345.794677734,-9101.104736328,-9860.229492188,-10695.648193359,-10765.075683594,-10814.666748047,-10539.245605469
,58.746337891,55.694580078,-1290.130615234,-1408.386230469,-3083.801269531,-2348.327636719,-2163.696289063,-5022.430419922,-5429.077148438,-6578.826904297,-8346.557617188,-9086.608886719,-9841.918945313,-10681.152343750,-10735.321044922,-10806.274414063,-10516.357421875
,56.457519531,56.457519531,-1274.108886719,-1390.838623047,-3047.180175781,-2309.417724609,-2130.126953125,-4991.149902344,-5421.447753906,-6577.301025391,-8370.208740234,-9095.764160156,-9847.259521484,-10691.070556641,-10729.980468750,-10819.244384766,-10514.831542969
,54.931640625,56.457519531,-1258.850097656,-1374.053955078,-3011.322021484,-2272.033691406,-2098.083496094,-4968.261718750,-5429.077148438,-6595.611572266,-8416.748046875,-9127.807617188,-9875.488281250,-10724.639892578,-10747.528076172,-10852.813720703,-10538.482666016
,54.931640625,57.220458984,-1242.065429688,-1357.269287109,-2975.463867188,-2233.123779297,-2066.802978516,-4955.291748047,-5453.491210938,-6635.284423828,-8483.886718750,-9182.739257813,-9925.079345703,-10779.571533203,-10787.200927734,-10904.693603516,-10582.733154297
,54.931640625,57.220458984,-1225.280761719,-1340.484619141,-2941.131591797,-2193.450927734,-2037.811279297,-4955.291748047,-5494.689941406,-6695.556640625,-8571.624755859,-9257.507324219,-9993.743896484,-10850.524902344,-10845.184326172,-10973.358154297,-10646.057128906
,54.168701172,57.983398438,-1210.784912109,-1324.462890625,-2907.562255859,-2155.303955078,-2010.345458984,-4965.972900391,-5550.384521484,-6774.139404297,-8675.384521484,-9348.297119141,-10076.141357422,-10934.448242188,-10918.426513672,-11053.466796875,-10723.876953125
,52.642822266,59.509277344,-1194.763183594,-1306.915283203,-2873.992919922,-2116.394042969,-1983.642578125,-4985.809326172,-5617.523193359,-6867.980957031,-8791.351318359,-9451.293945313,-10169.982910156,-11026.763916016,-11002.349853516,-11142.730712891,-10809.326171875
,51.116943359,59.509277344,-1178.741455078,-1288.604736328,-2841.186523438,-2079.010009766,-1957.702636719,-5011.749267578,-5694.580078125,-6976.318359375,-8915.710449219,-9563.446044922,-10272.979736328,-11126.708984375,-11093.902587891,-11237.335205078,-10901.641845703
