Test Name,H-Reflex Inc-Dec
Test Item,Left Increasing -> M-max
Patient Name,"week5  s2811mytb"
Patient ID,
Test Date,6/4/2019
Trace Label,"Tr 1 : 0 mA","Tr 2 : 0 mA","Tr 3 : 11 mA","Tr 4 : 14.5 mA","Tr 5 : 30 mA","Tr 6 : 30 mA","Tr 7 : 30 mA","Tr 8 : 46 mA","Tr 9 : 52 mA","Tr 10 : 62 mA","Tr 11 : 100 mA","Tr 12 : 100 mA","Tr 13 : 100 mA","Tr 14 : 100 mA","Tr 15 : 100 mA","Tr 16 : 100 mA","Tr 17 : 100 mA"
Sensitivity (µV/Div),2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00
Hicut,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
Locut,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
ms/Sample,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781,0.0781
Samples,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
Trace Data (µV),42.724609375,-6.103515625,9650.421142578,13212.585449219,4141.235351563,14098.358154297,8767.700195313,17343.139648438,15901.184082031,7566.833496094,8449.554443359,6823.730468750,10192.871093750,13160.705566406,8396.148681641,15553.283691406,11092.376708984
,40.435791016,-16.021728516,-25.939941406,-25.177001953,-109.100341797,-146.484375000,-48.828125000,-1096.343994141,-1259.613037109,-835.418701172,1519.775390625,1554.870605469,1544.189453125,1515.197753906,1641.845703125,1588.439941406,1525.115966797
,38.909912109,-16.021728516,-24.414062500,-26.702880859,-109.100341797,-144.195556641,-48.065185547,-1103.973388672,-1281.738281250,-874.328613281,1486.968994141,1522.064208984,1514.434814453,1486.206054688,1613.616943359,1556.396484375,1495.361328125
,37.384033203,-16.784667969,-23.651123047,-26.702880859,-109.863281250,-141.906738281,-45.776367188,-1111.602783203,-1298.522949219,-910.949707031,1454.925537109,1489.257812500,1486.206054688,1458.740234375,1585.388183594,1526.641845703,1469.421386719
,36.621093750,-17.547607422,-23.651123047,-27.465820313,-109.863281250,-141.143798828,-43.487548828,-1116.943359375,-1313.018798828,-946.044921875,1423.645019531,1457.214355469,1460.266113281,1432.037353516,1557.922363281,1499.176025391,1445.007324219
,35.858154297,-17.547607422,-24.414062500,-27.465820313,-109.100341797,-141.143798828,-41.198730469,-1121.520996094,-1322.937011719,-979.614257813,1393.127441406,1428.985595703,1436.614990234,1406.860351563,1530.456542969,1473.236083984,1422.119140625
,35.858154297,-17.547607422,-24.414062500,-26.702880859,-108.337402344,-138.854980469,-38.909912109,-1126.861572266,-1329.040527344,-1010.131835938,1364.135742188,1403.045654297,1415.252685547,1382.446289063,1504.516601563,1446.533203125,1399.230957031
,38.146972656,-16.784667969,-25.177001953,-26.702880859,-108.337402344,-135.803222656,-38.146972656,-1131.439208984,-1333.618164063,-1039.886474609,1335.906982422,1379.394531250,1394.653320313,1358.032226563,1480.102539063,1419.830322266,1377.105712891
,40.435791016,-16.784667969,-26.702880859,-25.177001953,-109.100341797,-131.988525391,-37.384033203,-1136.779785156,-1338.958740234,-1068.115234375,1309.204101563,1358.032226563,1374.053955078,1335.906982422,1456.451416016,1393.127441406,1357.269287109
,42.724609375,-17.547607422,-28.991699219,-23.651123047,-110.626220703,-126.647949219,-37.384033203,-1140.594482422,-1345.062255859,-1094.055175781,1284.027099609,1337.432861328,1354.217529297,1316.070556641,1436.614990234,1367.187500000,1338.195800781
,45.013427734,-17.547607422,-31.280517578,-22.888183594,-112.915039063,-122.833251953,-36.621093750,-1142.883300781,-1351.165771484,-1116.943359375,1260.375976563,1316.833496094,1334.381103516,1295.471191406,1419.067382813,1342.010498047,1319.885253906
,46.539306641,-17.547607422,-33.569335938,-22.125244141,-114.440917969,-120.544433594,-36.621093750,-1144.409179688,-1359.558105469,-1137.542724609,1237.487792969,1296.997070313,1316.833496094,1275.634765625,1402.282714844,1318.359375000,1300.811767578
,48.828125000,-16.021728516,-34.332275391,-21.362304688,-115.203857422,-119.018554688,-35.858154297,-1145.172119141,-1366.424560547,-1152.801513672,1215.362548828,1278.686523438,1300.811767578,1256.561279297,1387.023925781,1293.945312500,1281.738281250
,51.116943359,-14.495849609,-34.332275391,-20.599365234,-114.440917969,-119.781494141,-36.621093750,-1143.646240234,-1369.476318359,-1165.008544922,1194.763183594,1258.850097656,1286.315917969,1237.487792969,1373.291015625,1268.768310547,1263.427734375
,52.642822266,-12.969970703,-35.858154297,-18.310546875,-115.203857422,-119.018554688,-38.909912109,-1139.831542969,-1369.476318359,-1174.926757813,1173.400878906,1241.302490234,1272.583007813,1219.940185547,1360.321044922,1242.828369141,1245.880126953
,53.405761719,-11.444091797,-37.384033203,-17.547607422,-116.729736328,-117.492675781,-41.198730469,-1132.202148438,-1363.372802734,-1182.556152344,1152.801513672,1223.754882813,1257.324218750,1203.918457031,1347.351074219,1216.125488281,1229.095458984
,53.405761719,-9.155273438,-40.435791016,-16.021728516,-119.018554688,-114.440917969,-43.487548828,-1119.995117188,-1353.454589844,-1187.133789063,1132.965087891,1206.207275391,1242.828369141,1187.133789063,1335.144042969,1193.237304688,1213.836669922
,53.405761719,-7.629394531,-45.013427734,-15.258789063,-121.307373047,-110.626220703,-45.776367188,-1107.025146484,-1343.536376953,-1190.185546875,1114.654541016,1191.711425781,1229.095458984,1169.586181641,1322.937011719,1171.875000000,1198.577880859
,54.168701172,-5.340576172,-48.065185547,-16.021728516,-122.070312500,-109.100341797,-48.828125000,-1091.766357422,-1333.618164063,-1189.422607422,1097.869873047,1178.741455078,1215.362548828,1152.038574219,1310.729980469,1152.038574219,1183.319091797
,55.694580078,-2.288818359,-51.879882813,-16.021728516,-122.070312500,-109.100341797,-50.354003906,-1074.981689453,-1324.462890625,-1184.082031250,1083.374023438,1167.297363281,1201.629638672,1133.728027344,1299.285888672,1132.965087891,1166.534423828
,57.220458984,0.000000000,-54.931640625,-16.784667969,-122.070312500,-109.100341797,-52.642822266,-1055.145263672,-1314.544677734,-1175.689697266,1069.641113281,1156.616210938,1187.133789063,1116.943359375,1287.078857422,1113.128662109,1148.986816406
,60.272216797,3.051757813,-58.746337891,-16.784667969,-122.833251953,-109.100341797,-54.168701172,-1032.257080078,-1300.811767578,-1161.193847656,1055.908203125,1145.935058594,1171.112060547,1101.684570313,1274.871826172,1092.529296875,1131.439208984
,61.035156250,5.340576172,-63.323974609,-15.258789063,-123.596191406,-106.048583984,-53.405761719,-1004.791259766,-1283.264160156,-1141.357421875,1042.938232422,1134.490966797,1154.327392578,1087.188720703,1263.427734375,1072.692871094,1114.654541016
,62.561035156,7.629394531,-67.138671875,-14.495849609,-122.833251953,-102.996826172,-51.879882813,-974.273681641,-1262.664794922,-1119.232177734,1027.679443359,1123.046875000,1137.542724609,1073.455810547,1252.746582031,1055.145263672,1098.632812500
,64.086914063,9.918212891,-70.953369141,-13.732910156,-121.307373047,-99.945068359,-49.591064453,-941.467285156,-1239.776611328,-1093.292236328,1014.709472656,1111.602783203,1123.046875000,1061.248779297,1241.302490234,1038.360595703,1084.899902344
,64.849853516,12.969970703,-72.479248047,-14.495849609,-118.255615234,-99.182128906,-47.302246094,-904.846191406,-1213.073730469,-1064.300537109,1004.791259766,1101.684570313,1112.365722656,1049.804687500,1232.147216797,1023.864746094,1073.455810547
,66.375732422,16.784667969,-74.005126953,-15.258789063,-114.440917969,-98.419189453,-45.776367188,-865.936279297,-1184.082031250,-1031.494140625,996.398925781,1094.055175781,1103.973388672,1039.123535156,1226.043701172,1012.420654297,1062.774658203
,67.138671875,19.836425781,-75.531005859,-16.021728516,-112.915039063,-98.419189453,-45.013427734,-822.448730469,-1147.460937500,-991.821289063,991.821289063,1088.714599609,1097.106933594,1030.731201172,1221.466064453,1001.739501953,1054.382324219
,67.138671875,22.888183594,-76.293945313,-16.021728516,-111.389160156,-96.893310547,-45.776367188,-775.146484375,-1104.736328125,-945.281982422,987.243652344,1083.374023438,1091.003417969,1023.864746094,1220.703125000,995.635986328,1046.752929688
,66.375732422,25.177001953,-77.819824219,-14.495849609,-110.626220703,-93.841552734,-45.776367188,-727.081298828,-1052.856445313,-892.639160156,982.666015625,1078.033447266,1084.136962891,1017.761230469,1220.703125000,993.347167969,1039.886474609
,67.138671875,27.465820313,-78.582763672,-12.969970703,-110.626220703,-90.026855469,-45.013427734,-679.016113281,-994.110107422,-833.129882813,978.851318359,1072.692871094,1078.033447266,1012.420654297,1220.703125000,992.584228516,1033.020019531
,67.138671875,30.517578125,-78.582763672,-12.207031250,-108.337402344,-85.449218750,-45.013427734,-630.187988281,-928.497314453,-769.805908203,975.799560547,1065.826416016,1071.166992188,1007.843017578,1219.940185547,992.584228516,1025.390625000
,67.901611328,35.095214844,-76.293945313,-12.969970703,-105.285644531,-80.108642578,-45.013427734,-582.885742188,-856.018066406,-701.141357422,974.273681641,1059.722900391,1063.537597656,1001.739501953,1215.362548828,993.347167969,1018.524169922
,69.427490234,39.672851563,-72.479248047,-14.495849609,-101.470947266,-74.005126953,-45.776367188,-534.820556641,-778.961181641,-626.373291016,972.747802734,1052.093505859,1052.856445313,995.635986328,1208.496093750,993.347167969,1011.657714844
,67.901611328,44.250488281,-68.664550781,-16.021728516,-98.419189453,-67.138671875,-47.302246094,-485.229492188,-697.326660156,-547.027587891,971.221923828,1043.701171875,1039.123535156,989.532470703,1200.103759766,992.584228516,1004.791259766
,67.138671875,48.065185547,-64.849853516,-16.784667969,-94.604492188,-57.983398438,-47.302246094,-434.875488281,-608.062744141,-460.815429688,970.458984375,1035.308837891,1025.390625000,983.428955078,1188.659667969,994.110107422,998.687744141
,66.375732422,52.642822266,-61.035156250,-15.258789063,-90.789794922,-48.828125000,-47.302246094,-382.995605469,-512.695312500,-371.551513672,970.458984375,1027.679443359,1010.131835938,976.562500000,1176.452636719,995.635986328,991.058349609
,64.849853516,57.220458984,-57.983398438,-13.732910156,-86.975097656,-41.198730469,-47.302246094,-331.878662109,-406.646728516,-282.287597656,971.984863281,1019.287109375,996.398925781,971.221923828,1160.430908203,997.161865234,982.666015625
,65.612792969,62.561035156,-53.405761719,-11.444091797,-81.634521484,-34.332275391,-46.539306641,-283.813476563,-289.154052734,-194.549560547,975.036621094,1011.657714844,984.954833984,967.407226563,1143.646240234,1000.976562500,973.510742188
,66.375732422,68.664550781,-48.828125000,-9.155273438,-77.056884766,-28.991699219,-47.302246094,-236.511230469,-162.506103516,-110.626220703,978.088378906,1004.028320313,971.984863281,965.881347656,1125.335693359,1005.554199219,964.355468750
,66.375732422,75.531005859,-44.250488281,-7.629394531,-73.242187500,-25.177001953,-48.828125000,-194.549560547,-28.228759766,-31.280517578,981.140136719,995.635986328,959.777832031,966.644287109,1107.025146484,1011.657714844,957.489013672
,65.612792969,82.397460938,-40.435791016,-6.103515625,-70.190429688,-21.362304688,-50.354003906,-154.113769531,106.048583984,47.302246094,981.903076172,988.769531250,946.044921875,968.933105469,1091.766357422,1020.050048828,952.911376953
,63.323974609,88.500976563,-37.384033203,-4.577636719,-67.901611328,-18.310546875,-52.642822266,-115.966796875,242.614746094,125.885009766,982.666015625,981.903076172,932.312011719,972.747802734,1078.033447266,1030.731201172,949.859619141
,61.035156250,93.841552734,-34.332275391,-3.051757813,-64.849853516,-16.784667969,-54.168701172,-80.871582031,376.892089844,202.941894531,982.666015625,976.562500000,919.342041016,977.325439453,1066.589355469,1041.412353516,948.333740234
,57.983398438,99.182128906,-31.280517578,-2.288818359,-61.035156250,-16.021728516,-56.457519531,-43.487548828,508.117675781,277.709960938,984.191894531,972.747802734,906.372070313,981.903076172,1055.908203125,1052.856445313,946.044921875
,55.694580078,103.759765625,-28.228759766,-2.288818359,-57.220458984,-15.258789063,-57.983398438,-6.103515625,635.528564453,349.426269531,986.480712891,966.644287109,893.402099609,985.717773438,1045.989990234,1061.248779297,942.993164063
,54.168701172,107.574462891,-26.702880859,-2.288818359,-54.168701172,-14.495849609,-59.509277344,31.280517578,753.784179688,418.090820313,988.769531250,958.251953125,879.669189453,989.532470703,1035.308837891,1065.826416016,939.941406250
,51.879882813,110.626220703,-25.939941406,-3.051757813,-51.879882813,-13.732910156,-62.561035156,68.664550781,862.121582031,484.466552734,988.006591797,947.570800781,863.647460938,991.821289063,1024.627685547,1065.063476563,935.363769531
,49.591064453,112.915039063,-25.939941406,-2.288818359,-52.642822266,-9.155273438,-64.086914063,102.233886719,959.014892578,547.027587891,985.717773438,934.600830078,846.099853516,992.584228516,1013.946533203,1060.485839844,928.497314453
,47.302246094,114.440917969,-24.414062500,-2.288818359,-52.642822266,-4.577636719,-64.849853516,132.751464844,1045.227050781,605.010986328,981.140136719,920.104980469,827.789306641,991.821289063,1003.265380859,1052.093505859,919.342041016
,44.250488281,115.966796875,-22.888183594,-2.288818359,-53.405761719,0.762939453,-64.849853516,162.506103516,1122.283935547,656.890869141,976.562500000,904.083251953,810.241699219,988.006591797,991.058349609,1039.886474609,907.897949219
,41.961669922,116.729736328,-19.073486328,-1.525878906,-52.642822266,6.866455078,-64.849853516,192.260742188,1190.948486328,704.956054688,972.747802734,888.061523438,793.457031250,983.428955078,978.851318359,1026.916503906,894.927978516
,40.435791016,115.966796875,-16.021728516,-1.525878906,-52.642822266,12.207031250,-64.849853516,225.830078125,1252.746582031,750.732421875,969.696044922,868.988037109,777.435302734,977.325439453,965.881347656,1012.420654297,881.958007813
,38.909912109,113.677978516,-13.732910156,-0.762939453,-53.405761719,17.547607422,-64.086914063,263.977050781,1305.389404297,795.745849609,968.170166016,850.677490234,761.413574219,970.458984375,953.674316406,997.924804688,870.513916016
,37.384033203,111.389160156,-10.681152344,0.000000000,-54.168701172,22.888183594,-62.561035156,307.464599609,1348.876953125,840.759277344,965.881347656,833.129882813,745.391845703,963.592529297,942.230224609,984.954833984,859.069824219
,36.621093750,108.337402344,-9.155273438,0.000000000,-55.694580078,28.228759766,-59.509277344,354.003906250,1382.446289063,884.246826172,962.066650391,815.582275391,730.895996094,956.726074219,930.786132813,972.747802734,847.625732422
,35.858154297,106.048583984,-6.866455078,-0.762939453,-57.983398438,33.569335938,-54.931640625,402.832031250,1404.571533203,923.156738281,958.251953125,801.086425781,719.451904297,949.096679688,918.579101563,960.540771484,838.470458984
,35.095214844,103.759765625,-3.814697266,-2.288818359,-57.983398438,38.146972656,-49.591064453,453.186035156,1416.778564453,957.489013672,952.911376953,788.879394531,710.296630859,941.467285156,908.660888672,949.096679688,830.078125000
,34.332275391,99.182128906,-0.762939453,-3.814697266,-59.509277344,41.198730469,-43.487548828,503.540039063,1421.356201172,985.717773438,949.096679688,779.724121094,704.193115234,931.549072266,898.742675781,936.126708984,825.500488281
,33.569335938,95.367431641,0.762939453,-5.340576172,-61.035156250,44.250488281,-37.384033203,553.131103516,1422.119140625,1011.657714844,945.281982422,772.857666016,698.852539063,922.393798828,890.350341797,923.156738281,823.974609375
,32.043457031,90.789794922,3.051757813,-6.103515625,-62.561035156,47.302246094,-32.043457031,601.196289063,1422.119140625,1037.597656250,942.230224609,769.042968750,695.037841797,913.238525391,885.009765625,911.712646484,824.737548828
,31.280517578,86.212158203,4.577636719,-5.340576172,-63.323974609,50.354003906,-26.702880859,650.024414063,1424.407958984,1065.826416016,940.704345703,767.517089844,690.460205078,904.083251953,878.143310547,900.268554688,826.263427734
,28.991699219,83.160400391,6.103515625,-5.340576172,-63.323974609,54.931640625,-22.888183594,695.800781250,1428.222656250,1097.106933594,939.941406250,766.754150391,686.645507813,894.927978516,872.802734375,888.824462891,826.263427734
,28.991699219,80.871582031,7.629394531,-6.866455078,-63.323974609,57.983398438,-19.836425781,739.288330078,1432.800292969,1129.150390625,940.704345703,766.754150391,684.356689453,884.246826172,865.936279297,876.617431641,826.263427734
,27.465820313,79.345703125,8.392333984,-7.629394531,-64.086914063,60.272216797,-17.547607422,781.250000000,1435.852050781,1161.956787109,942.993164063,766.754150391,683.593750000,872.802734375,859.069824219,863.647460938,827.789306641
,26.702880859,77.819824219,8.392333984,-9.155273438,-66.375732422,63.323974609,-15.258789063,820.159912109,1436.614990234,1195.526123047,946.044921875,766.754150391,683.593750000,861.358642578,852.203369141,849.151611328,830.841064453
,24.414062500,75.531005859,7.629394531,-9.155273438,-68.664550781,66.375732422,-13.732910156,856.781005859,1436.614990234,1231.384277344,948.333740234,766.754150391,683.593750000,850.677490234,844.573974609,835.418701172,835.418701172
,22.125244141,73.242187500,6.866455078,-8.392333984,-72.479248047,70.190429688,-10.681152344,891.876220703,1438.140869141,1270.294189453,949.096679688,766.754150391,683.593750000,839.233398438,837.707519531,823.211669922,841.522216797
,20.599365234,70.953369141,6.866455078,-7.629394531,-75.531005859,74.005126953,-7.629394531,924.682617188,1443.481445313,1310.729980469,949.096679688,767.517089844,683.593750000,827.026367188,831.604003906,811.767578125,845.336914063
,19.073486328,68.664550781,6.103515625,-8.392333984,-77.819824219,77.056884766,-5.340576172,952.911376953,1450.347900391,1350.402832031,946.807861328,767.517089844,685.119628906,814.056396484,824.737548828,800.323486328,847.625732422
,18.310546875,69.427490234,6.866455078,-8.392333984,-79.345703125,79.345703125,-4.577636719,978.851318359,1458.740234375,1384.735107422,943.756103516,768.280029297,688.171386719,801.086425781,817.871093750,788.879394531,848.388671875
,18.310546875,69.427490234,6.103515625,-7.629394531,-80.871582031,80.871582031,-3.814697266,1003.265380859,1466.369628906,1412.963867188,941.467285156,769.042968750,691.986083984,789.642333984,811.767578125,777.435302734,848.388671875
,16.784667969,69.427490234,5.340576172,-6.103515625,-83.160400391,80.871582031,-4.577636719,1024.627685547,1470.947265625,1432.800292969,938.415527344,769.042968750,695.037841797,782.012939453,806.427001953,768.280029297,849.914550781
,15.258789063,70.953369141,3.051757813,-2.288818359,-83.923339844,82.397460938,-3.814697266,1047.515869141,1473.236083984,1448.822021484,936.126708984,768.280029297,697.326660156,777.435302734,802.612304688,759.124755859,852.203369141
,12.207031250,70.953369141,0.000000000,0.762939453,-83.923339844,83.160400391,-3.814697266,1070.404052734,1473.236083984,1461.791992188,932.312011719,766.754150391,697.326660156,773.620605469,798.797607422,752.258300781,854.492187500
,9.155273438,72.479248047,-3.051757813,3.051757813,-83.160400391,83.160400391,-4.577636719,1090.240478516,1472.473144531,1473.999023438,927.734375000,765.228271484,696.563720703,771.331787109,793.457031250,746.917724609,858.306884766
,6.866455078,73.242187500,-6.866455078,3.814697266,-80.108642578,83.923339844,-5.340576172,1108.551025391,1471.710205078,1486.206054688,920.867919922,764.465332031,695.037841797,769.042968750,789.642333984,741.577148438,862.121582031
,4.577636719,74.005126953,-10.681152344,5.340576172,-77.819824219,84.686279297,-6.103515625,1123.046875000,1472.473144531,1497.650146484,912.475585938,762.176513672,693.511962891,765.228271484,787.353515625,736.236572266,865.936279297
,1.525878906,74.005126953,-15.258789063,6.103515625,-75.531005859,85.449218750,-6.103515625,1134.490966797,1473.999023438,1504.516601563,904.083251953,759.124755859,691.223144531,762.176513672,785.827636719,731.658935547,869.750976563
,0.000000000,74.005126953,-19.836425781,6.103515625,-72.479248047,87.738037109,-4.577636719,1145.172119141,1477.813720703,1511.383056641,894.165039063,755.310058594,688.934326172,759.124755859,786.590576172,727.844238281,874.328613281
,-1.525878906,74.768066406,-23.651123047,6.866455078,-70.953369141,90.789794922,-0.762939453,1153.564453125,1483.154296875,1516.723632813,885.772705078,752.258300781,685.882568359,756.072998047,786.590576172,724.792480469,878.143310547
,-3.051757813,75.531005859,-27.465820313,6.866455078,-67.901611328,93.841552734,3.814697266,1161.956787109,1487.731933594,1519.775390625,875.854492188,749.969482422,683.593750000,754.547119141,786.590576172,722.503662109,880.432128906
,-2.288818359,76.293945313,-30.517578125,7.629394531,-64.086914063,97.656250000,10.681152344,1169.586181641,1491.546630859,1520.538330078,865.936279297,751.495361328,680.541992188,753.021240234,785.827636719,717.926025391,880.432128906
,-1.525878906,77.819824219,-32.043457031,7.629394531,-59.509277344,99.945068359,18.310546875,1177.978515625,1493.072509766,1517.486572266,856.018066406,753.021240234,679.016113281,752.258300781,785.064697266,711.059570313,878.143310547
,-0.762939453,79.345703125,-33.569335938,7.629394531,-55.694580078,101.470947266,27.465820313,1186.370849609,1491.546630859,1507.568359375,846.099853516,753.021240234,678.253173828,750.732421875,783.538818359,701.904296875,872.802734375
,0.000000000,80.871582031,-35.858154297,9.155273438,-51.116943359,103.759765625,36.621093750,1195.526123047,1488.494873047,1493.835449219,836.944580078,751.495361328,678.253173828,747.680664063,782.012939453,690.460205078,865.173339844
,-0.762939453,83.160400391,-37.384033203,10.681152344,-46.539306641,106.048583984,45.776367188,1206.207275391,1483.917236328,1477.813720703,827.789306641,747.680664063,679.016113281,742.340087891,779.724121094,677.490234375,856.781005859
,-3.051757813,85.449218750,-41.198730469,12.969970703,-41.961669922,108.337402344,55.694580078,1216.125488281,1477.813720703,1460.266113281,818.634033203,742.340087891,680.541992188,734.710693359,774.383544922,664.520263672,845.336914063
,-4.577636719,86.975097656,-43.487548828,13.732910156,-36.621093750,109.863281250,63.323974609,1224.517822266,1470.184326172,1441.955566406,811.767578125,737.762451172,681.304931641,725.555419922,765.991210938,650.787353516,832.366943359
,-6.866455078,88.500976563,-45.013427734,13.732910156,-31.280517578,110.626220703,70.190429688,1230.621337891,1461.029052734,1422.119140625,804.901123047,732.421875000,680.541992188,714.874267578,756.835937500,637.054443359,816.345214844
,-8.392333984,90.026855469,-45.013427734,11.444091797,-28.228759766,109.100341797,75.531005859,1235.961914063,1451.873779297,1402.282714844,798.797607422,726.318359375,678.253173828,703.430175781,744.628906250,622.558593750,798.797607422
,-9.155273438,91.552734375,-44.250488281,9.918212891,-26.702880859,107.574462891,79.345703125,1238.250732422,1441.955566406,1382.446289063,791.168212891,717.926025391,674.438476563,691.223144531,732.421875000,608.825683594,778.961181641
,-10.681152344,93.078613281,-44.250488281,9.155273438,-26.702880859,106.048583984,83.160400391,1238.250732422,1430.511474609,1364.898681641,782.012939453,706.481933594,669.860839844,679.779052734,720.214843750,592.803955078,757.598876953
,-11.444091797,95.367431641,-43.487548828,11.444091797,-28.991699219,106.048583984,86.212158203,1237.487792969,1416.778564453,1347.351074219,769.042968750,693.511962891,664.520263672,666.809082031,707.244873047,578.308105469,735.473632813
,-12.207031250,96.893310547,-44.250488281,13.732910156,-31.280517578,105.285644531,89.263916016,1232.910156250,1401.519775391,1328.277587891,753.784179688,679.016113281,658.416748047,651.550292969,691.986083984,563.049316406,711.059570313
,-12.969970703,96.893310547,-44.250488281,15.258789063,-33.569335938,104.522705078,90.789794922,1226.806640625,1387.023925781,1309.204101563,737.762451172,666.046142578,652.313232422,634.765625000,675.201416016,548.553466797,685.882568359
,-12.969970703,96.893310547,-43.487548828,15.258789063,-35.858154297,103.759765625,91.552734375,1219.940185547,1371.765136719,1288.604736328,722.503662109,653.839111328,644.683837891,616.455078125,656.127929688,535.583496094,660.705566406
,-12.969970703,95.367431641,-41.961669922,15.258789063,-36.621093750,102.996826172,92.315673828,1210.784912109,1357.269287109,1267.242431641,708.007812500,643.157958984,634.765625000,597.381591797,636.291503906,521.850585938,635.528564453
,-13.732910156,94.604492188,-38.909912109,16.784667969,-37.384033203,102.996826172,91.552734375,1200.866699219,1342.773437500,1247.406005859,692.749023438,631.713867188,621.795654297,579.071044922,616.455078125,508.880615234,611.877441406
,-13.732910156,94.604492188,-35.858154297,20.599365234,-38.146972656,102.996826172,92.315673828,1191.711425781,1325.225830078,1229.095458984,678.253173828,619.506835938,605.773925781,560.760498047,598.144531250,495.147705078,588.989257813
,-12.969970703,93.078613281,-32.806396484,25.177001953,-38.909912109,102.233886719,90.789794922,1181.030273438,1306.152343750,1211.547851563,661.468505859,605.010986328,587.463378906,540.161132813,579.833984375,479.888916016,566.101074219
,-11.444091797,92.315673828,-30.517578125,28.991699219,-40.435791016,101.470947266,87.738037109,1168.823242188,1285.552978516,1195.526123047,643.157958984,588.226318359,566.864013672,519.561767578,561.523437500,463.867187500,543.212890625
,-9.918212891,90.789794922,-26.702880859,32.043457031,-41.198730469,99.945068359,83.923339844,1156.616210938,1264.190673828,1180.267333984,624.084472656,569.915771484,546.264648438,498.962402344,542.449951172,447.845458984,521.850585938
,-8.392333984,87.738037109,-23.651123047,34.332275391,-41.198730469,98.419189453,76.293945313,1143.646240234,1242.828369141,1165.771484375,604.248046875,549.316406250,526.428222656,479.125976563,523.376464844,434.112548828,502.014160156
,-9.155273438,83.923339844,-20.599365234,35.095214844,-41.198730469,96.130371094,69.427490234,1132.202148438,1222.991943359,1152.801513672,584.411621094,528.717041016,507.354736328,463.104248047,505.065917969,421.905517578,485.229492188
,-10.681152344,79.345703125,-17.547607422,37.384033203,-39.672851563,93.078613281,64.086914063,1123.809814453,1203.918457031,1142.883300781,564.575195313,508.880615234,490.570068359,449.371337891,487.518310547,411.987304688,469.970703125
,-11.444091797,75.531005859,-15.258789063,40.435791016,-38.909912109,90.026855469,59.509277344,1115.417480469,1186.370849609,1133.728027344,543.975830078,491.333007813,474.548339844,437.164306641,472.259521484,402.832031250,455.474853516
,-12.969970703,72.479248047,-12.969970703,41.198730469,-39.672851563,86.212158203,56.457519531,1107.025146484,1171.875000000,1126.861572266,523.376464844,476.074218750,459.289550781,424.957275391,456.237792969,393.676757813,440.979003906
,-13.732910156,70.953369141,-11.444091797,42.724609375,-39.672851563,82.397460938,53.405761719,1097.106933594,1157.379150391,1119.995117188,503.540039063,462.341308594,444.030761719,413.513183594,440.979003906,383.758544922,427.246093750
,-14.495849609,70.953369141,-9.155273438,41.961669922,-40.435791016,80.108642578,51.116943359,1085.662841797,1143.646240234,1111.602783203,484.466552734,448.608398438,427.246093750,402.832031250,424.194335938,373.077392578,415.039062500
,-15.258789063,69.427490234,-6.866455078,41.198730469,-41.961669922,78.582763672,47.302246094,1072.692871094,1131.439208984,1101.684570313,467.681884766,434.112548828,411.224365234,391.387939453,408.172607422,362.396240234,404.357910156
,-17.547607422,67.138671875,-4.577636719,40.435791016,-42.724609375,77.056884766,43.487548828,1060.485839844,1119.995117188,1090.240478516,450.897216797,420.379638672,395.202636719,379.943847656,392.150878906,351.715087891,395.202636719
,-17.547607422,65.612792969,-3.051757813,39.672851563,-43.487548828,77.056884766,40.435791016,1048.278808594,1109.313964844,1078.796386719,433.349609375,405.883789063,380.706787109,367.736816406,376.892089844,341.033935547,386.047363281
,-19.073486328,62.561035156,-3.051757813,38.146972656,-43.487548828,77.056884766,38.146972656,1035.308837891,1097.106933594,1066.589355469,414.276123047,392.913818359,367.736816406,354.766845703,362.396240234,331.878662109,376.892089844
,-19.836425781,60.272216797,-3.814697266,38.146972656,-42.724609375,75.531005859,36.621093750,1020.050048828,1082.611083984,1054.382324219,394.439697266,381.469726563,357.055664063,342.559814453,349.426269531,321.960449219,366.210937500
,-19.073486328,58.746337891,-3.051757813,38.146972656,-41.961669922,74.768066406,35.095214844,1005.554199219,1065.063476563,1041.412353516,376.129150391,370.025634766,347.900390625,331.878662109,337.219238281,312.805175781,354.766845703
,-19.073486328,56.457519531,-3.814697266,38.909912109,-44.250488281,73.242187500,33.569335938,990.295410156,1045.227050781,1026.153564453,360.107421875,357.818603516,339.508056641,321.197509766,325.012207031,302.886962891,343.322753906
,-17.547607422,55.694580078,-3.814697266,40.435791016,-45.776367188,71.716308594,32.043457031,975.799560547,1024.627685547,1010.131835938,344.848632813,346.374511719,331.115722656,312.805175781,313.568115234,293.731689453,332.641601563
